variant_id,observation_model_id,audit_rows,applied_updates,fit_errors,median_event_weight,selected_long_rows,live_event_vectors,training_candidates,training_vector_policy,excluded_incomplete_response,excluded_incomplete_control,excluded_score_unavailable,first_live_release,last_live_release,first_target_month,last_target_month,variants_using_model
business_legacy,inflation_expectations,29,3,26,0.8012230386101808,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint|all_revised_candidate
business_legacy,inflation_import_prices,171,147,24,1.0163254606507652,171,171,169,monthly_reference_vector_max_availability,0,0,2,2012-04-11,2026-07-17,2012-03-01,2026-06-01,price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint|all_revised_candidate
business_legacy,weekly_labor_stress,597,490,107,1.1039458129228128,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_icsa_only|claims_independent|claims_conditional_joint|all_revised_candidate
business_none,consumer_demand,191,182,9,1.1417112855625642,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_legacy|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint
business_none,inflation_expectations,29,3,26,0.8012230386104058,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint|all_revised_candidate
business_none,inflation_import_prices,171,147,24,1.0163254620192337,171,171,169,monthly_reference_vector_max_availability,0,0,2,2012-04-11,2026-07-17,2012-03-01,2026-06-01,price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint|all_revised_candidate
business_none,weekly_labor_stress,597,490,107,1.1039458129228128,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_icsa_only|claims_independent|claims_conditional_joint|all_revised_candidate
business_pipeline_only,business_pipeline_only,156,117,36,1.0968191230819988,156,156,154,monthly_reference_vector_max_availability,0,0,2,2013-07-25,2026-06-25,2013-06-01,2026-05-01,business_pipeline_only
business_pipeline_only,consumer_demand,191,182,9,1.1417112855625642,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_legacy|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint
business_pipeline_only,inflation_expectations,29,3,26,0.8012230386103943,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|structural_reduced_input|structural_reduced_no_price|price_import|consumer_none|consumer_legacy|consumer_real_only|consumer_implicit_only|consumer_vehicle_only|consumer_real_implicit_joint_only|consumer_without_real|consumer_without_implicit|consumer_revised_full|business_none|business_legacy|business_activity_only|business_pipeline_only|business_revised_joint|claims_none|claims_icsa_only|claims_ccsa_conditional_only|claims_independent|claims_conditional_joint|all_revised_candidate
