method,start_reference_week,end_reference_week,weeks,total_return,cagr,gross_cagr,annualized_cost_drag,annualized_volatility,sharpe_zero_rate,sharpe_excess_bil,sortino_zero_rate,maximum_drawdown,calmar_ratio,worst_week,best_week,positive_week_fraction,average_one_way_turnover,annualized_one_way_turnover,maximum_one_way_turnover,sum_transaction_cost_rates
equal_weight,2018-01-01,2026-07-06,445,0.6585749519044164,0.06090601280599861,0.061181322623653944,0.0002753098176553337,0.06343332105438763,0.9643398388125304,0.5727200019720173,1.4244591996943259,-0.14694890806612482,0.41447067288578837,-0.07429495563073951,0.06513104697267003,0.5932584269662922,0.004989529932279442,0.259455556478531,0.5,0.002220340819864352
legacy_sharpe_map,2018-01-01,2026-07-06,445,0.5409061349076736,0.0518223275925489,0.05667943915929197,0.004857111566743066,0.051961068171340864,0.9988239108257524,0.5212449562490349,1.4437354668843525,-0.11136873073977294,0.46532206345817384,-0.05725412032624699,0.0502665809340217,0.597752808988764,0.08858278360341915,4.606304747377796,0.6542626223930661,0.039419338703521524
pooled_anchor_posterior_25pct,2018-01-01,2026-07-06,445,1.2321738661604904,0.09837399098006361,0.09867223552739235,0.00029824454732874095,0.1048090914705943,0.9485128151648897,0.7112097209261272,1.416380319915103,-0.2192864019263705,0.4486096270260046,-0.11078376837017168,0.10361471241333375,0.6022471910112359,0.005220779527672818,0.27148053543898654,0.5,0.0023232468898144046
pooled_mean_optimizer,2018-01-01,2026-07-06,445,1.2307803607618921,0.09829384274557884,0.09858920395953241,0.00029536121395357107,0.10503778623387235,0.9459723387596296,0.7091818789075941,1.4134858727242252,-0.21986746101137833,0.4470595252859724,-0.11067539763709078,0.10383794950772396,0.604494382022472,0.005170688904449644,0.2688758230313815,0.5,0.002300956562480092
posterior_optimized,2018-01-01,2026-07-06,445,1.2360208644390345,0.09859502405745069,0.09891579240898851,0.0003207683515378257,0.104169886675157,0.9556495585744597,0.7169033329847718,1.4244221681270486,-0.21754547146739,0.45321570424981267,-0.11110885510403412,0.10294501379741194,0.6,0.005613875411536529,0.2919215213998995,0.5,0.002498174558133755
static_60_spy_40_agg,2018-01-01,2026-07-06,445,1.1903942191641814,0.09595158249315006,0.09625937367357573,0.0003077911804256761,0.11622080141053281,0.8472192162449059,0.6328593222716693,1.2413546463523963,-0.22020524058484414,0.43573705257110046,-0.10087979244149314,0.0936898226341234,0.604494382022472,0.00539978448901444,0.2807887934287509,0.5,0.002402904097611426
