method,reference_month,start_date,end_date,gross_return,transaction_cost_rate,net_return,gross_turnover,one_way_turnover,nav_before_period,nav_after_period
posterior_optimized,2018-01-01,2018-01-02,2018-02-01,0.019971325502549916,0.0005,0.019461339839798697,1.0,0.5,1.0,1.0194613398397987
posterior_optimized,2018-02-01,2018-02-01,2018-03-01,-0.02533378550733539,1.0156503891066648e-05,-0.02534368470853532,0.020313007782133297,0.010156503891066648,1.0194613398397987,0.9936244330703579
posterior_optimized,2018-03-01,2018-03-01,2018-04-02,-0.004355391140412883,3.244468955889007e-06,-0.004358621478437463,0.006488937911778014,0.003244468955889007,0.9936244330703579,0.9892936002748771
posterior_optimized,2018-04-01,2018-04-02,2018-05-01,-0.006471207987086319,8.700940724332391e-06,-0.006479852622213622,0.01740188144866478,0.00870094072433239,0.9892936002748771,0.9828831235449969
posterior_optimized,2018-05-01,2018-05-01,2018-06-01,0.009984301221894566,6.4326234108534865e-06,0.009977804373233923,0.012865246821706974,0.006432623410853487,0.9828831235449969,0.9926901390734819
posterior_optimized,2018-06-01,2018-06-01,2018-07-02,-0.011592119649867614,7.755643575943364e-06,-0.01159978538909523,0.015511287151886727,0.007755643575943364,0.9926901390734819,0.9811751465023584
posterior_optimized,2018-07-01,2018-07-02,2018-08-01,0.014647568741616377,6.1469607602938e-06,0.01464133174282578,0.0122939215205876,0.0061469607602938,0.9811751465023584,0.9955408573201151
posterior_optimized,2018-08-01,2018-08-01,2018-09-04,0.005652502916375582,1.0801968453099494e-05,0.005641639889764516,0.021603936906198988,0.010801968453099494,0.9955408573201151,1.0011573403326626
posterior_optimized,2018-09-01,2018-09-04,2018-10-01,0.004629634062940604,8.506926516748825e-06,0.004621087752467057,0.01701385303349765,0.008506926516748826,1.0011573403326626,1.0057837762563664
posterior_optimized,2018-10-01,2018-10-01,2018-11-01,-0.035234655280480025,0.00025123578690674304,-0.03547703886104092,0.5024715738134861,0.25123578690674303,1.0057837762563664,0.9701015461403147
posterior_optimized,2018-11-01,2018-11-01,2018-12-03,0.01286016642297091,1.2689570143860642e-05,0.012847313662843085,0.025379140287721286,0.012689570143860643,0.9701015461403147,0.9825647449883884
posterior_optimized,2018-12-01,2018-12-03,2019-01-02,-0.035164770070103296,6.5994867900050075e-06,-0.035171137487457815,0.013198973580010015,0.0065994867900050075,0.9825647449883884,0.9480068252520729
posterior_optimized,2019-01-01,2019-01-02,2019-02-01,0.05401126532247394,2.9777810337976065e-05,0.053979879174921086,0.05955562067595213,0.029777810337976066,0.9480068252520729,0.9991801191361803
posterior_optimized,2019-02-01,2019-02-01,2019-03-01,0.014585806829191387,1.4693458260256193e-05,0.014570899054987319,0.02938691652051239,0.014693458260256195,0.9991801191361803,1.0137390717898638
posterior_optimized,2019-03-01,2019-03-01,2019-04-01,0.021214600753755097,8.174420739899828e-06,0.02120625291594269,0.016348841479799654,0.008174420739899827,1.0137390717898638,1.0352366789370127
posterior_optimized,2019-04-01,2019-04-01,2019-05-01,0.012721542864629008,0.00023707911315548792,0.012481447739373097,0.4741582263109758,0.2370791131554879,1.0352366789370127,1.0481579314430471
posterior_optimized,2019-05-01,2019-05-01,2019-06-03,-0.014962285644622802,7.841494760385283e-06,-0.014970009812698692,0.015682989520770567,0.007841494760385283,1.0481579314430471,1.0324669969240867
posterior_optimized,2019-06-01,2019-06-03,2019-07-01,0.05703035316068698,1.82192989878494e-05,0.057011094808643525,0.0364385979756988,0.0182192989878494,1.0324669969240867,1.0913290707725214
posterior_optimized,2019-07-01,2019-07-01,2019-08-01,0.0032638760115085456,9.535639770885977e-06,0.0032543092485917136,0.019071279541771957,0.009535639770885979,1.0913290707725214,1.0948805930607934
posterior_optimized,2019-08-01,2019-08-01,2019-09-03,0.025329042933502664,1.6415623809293645e-06,0.025327359791917692,0.003283124761858729,0.0016415623809293645,1.0948805930607934,1.1226110277704324
posterior_optimized,2019-09-01,2019-09-03,2019-10-01,-0.0037931503951847646,1.6920866766181782e-05,-0.003810007078558497,0.03384173353236357,0.016920866766181784,1.1226110277704324,1.1183338718081592
posterior_optimized,2019-10-01,2019-10-01,2019-11-01,0.01842222794188793,1.1892432284853855e-05,0.01841011642450474,0.023784864569707707,0.011892432284853854,1.1183338718081592,1.1389225285896145
posterior_optimized,2019-11-01,2019-11-01,2019-12-02,0.003104056071029615,4.794792406540812e-06,0.0030992463953185556,0.009589584813081625,0.004794792406540812,1.1389225285896145,1.1424523301308929
posterior_optimized,2019-12-01,2019-12-02,2020-01-02,0.029887614773522437,1.9174488765456266e-05,0.029867867205023435,0.038348977530912536,0.019174488765456268,1.1424523301308929,1.176574944615312
posterior_optimized,2020-01-01,2020-01-02,2020-02-03,0.010298165696971284,0.0002555356884335515,0.010039998459676847,0.511071376867103,0.2555356884335515,1.176574944615312,1.1883877552469442
