method,start_reference_month,end_reference_month,months,total_return,cagr,gross_cagr,annualized_cost_drag,annualized_volatility,sharpe_zero_rate,sharpe_excess_bil,sortino_zero_rate,maximum_drawdown,calmar_ratio,worst_month,best_month,positive_month_fraction,average_one_way_turnover,annualized_one_way_turnover,maximum_one_way_turnover,sum_transaction_cost_rates
equal_weight,2018-01-01,2026-06-01,102,0.6512568246493584,0.0607798220343867,0.060942308998750416,0.00016248696436371723,0.06371105694852447,0.9599452977331661,0.5725139387773753,1.5694737481179954,-0.14774411943723564,0.4113857273365595,-0.04723163861065305,0.04990121332343822,0.6862745098039216,0.012762497690860675,0.15314997229032812,0.5,0.0013017747644677895
legacy_sharpe_map,2018-01-01,2026-06-01,102,0.49609338634611144,0.04853607458052567,0.04961860927396056,0.001082534693434889,0.04829364579755898,1.0072294491890184,0.49520240611774785,1.663993417235796,-0.11346636346622618,0.42775738199252916,-0.032894596712488844,0.03759812965714859,0.6764705882352942,0.08597883206642618,1.031745984797114,0.5,0.00876984087077547
pooled_mean_optimizer,2018-01-01,2026-06-01,102,1.2069332952270195,0.0976042728648776,0.09780465236291502,0.0002003794980374174,0.1017363239138801,0.9695386773244569,0.7270809916273833,1.541445671339814,-0.21922669461406075,0.4452207475768668,-0.09940138859290792,0.090352671964542,0.6764705882352942,0.015210694959786076,0.1825283395174329,0.5,0.0015514908858981795
posterior_optimized,2018-01-01,2026-06-01,102,1.241546673477703,0.09961565967045316,0.10003630928606655,0.00042064961561338876,0.10171057864938668,0.9878364461657501,0.7449917294460983,1.5852457540859903,-0.21157289130713242,0.4708337587817186,-0.09436220606168266,0.09128780089702837,0.6764705882352942,0.03186912856662367,0.38242954279948405,0.5,0.0032506511137956142
static_60_spy_40_agg,2018-01-01,2026-06-01,102,1.174072333422723,0.09566879472026812,0.09584795851871286,0.00017916379844473695,0.1120811595147307,0.873998562248587,0.6515241025034063,1.3679820401925438,-0.2160228717799375,0.4428641927218055,-0.10042275511594945,0.09660679937061123,0.6764705882352942,0.013624261852816405,0.16349114223379685,0.5,0.0013896747089872732
