method,start_reference_week,end_reference_week,weeks,total_return,cagr,gross_cagr,annualized_cost_drag,annualized_volatility,sharpe_zero_rate,sharpe_excess_bil,sortino_zero_rate,maximum_drawdown,calmar_ratio,worst_week,best_week,positive_week_fraction,average_one_way_turnover,annualized_one_way_turnover,maximum_one_way_turnover,sum_transaction_cost_rates
equal_weight,2018-01-01,2026-09-07,454,0.6615605135808655,0.05988161262062186,0.06015576714657267,0.00027415452595080936,0.06330925791733062,0.9508268601727645,0.5555517530436591,1.406241181368055,-0.14694876761879272,0.4074999306966888,-0.07429476293547621,0.06513110060665506,0.5881057268722467,0.0049734011407129245,0.25861685931707207,0.5,0.002257924117883668
pooled_mean_optimizer,2018-01-01,2026-09-07,454,1.255449735505378,0.09763620300692222,0.0979318377805638,0.0002956347736415843,0.10480977588704722,0.9420689341836763,0.7030414670875923,1.4117864122573693,-0.21986760961534546,0.4440681516378654,-0.11067519975778306,0.10383789770945584,0.6013215859030837,0.005178583562463758,0.26928634524811546,0.5,0.0023510769373585464
posterior_optimized,2018-01-01,2026-09-07,454,1.2604082938752712,0.09791232808663786,0.09823387072600975,0.00032154263937189675,0.10393030084486758,0.9516092016824578,0.7105764108295078,1.4229892397475536,-0.21801440246601989,0.4491094486379112,-0.11101589835018988,0.10313366986422334,0.5969162995594713,0.005630929195804946,0.2928083181818572,0.5,0.0025564418548954457
static_60_spy_40_agg,2018-01-01,2026-09-07,454,1.189576636735659,0.09391601879621314,0.09421976084883221,0.0003037420526190715,0.11540490642673092,0.8362503688384482,0.6187851129182813,1.2260139455287715,-0.22020515610054925,0.42649327772020723,-0.10087984891772128,0.09368960837208373,0.6035242290748899,0.00533867465713062,0.2776110821707922,0.5,0.0024237582943373013
