comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,median_delta_score_center_negative_log_predictive_density,mean_block_benefit_score_center_negative_log_predictive_density,mean_delta_quadrant_cross_entropy_to_exact_score_map,median_delta_quadrant_cross_entropy_to_exact_score_map,mean_block_benefit_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,median_delta_quadrant_brier_distance_to_exact_score_map,mean_block_benefit_quadrant_brier_distance_to_exact_score_map,mean_delta_hard_quadrant_correct,median_delta_hard_quadrant_correct,mean_block_benefit_hard_quadrant_correct
leave_one_out_weekly_labor_stress__vs__student_t_7_combined,leave_one_out_weekly_labor_stress,student_t_7_combined,weekly_labor_stress,leave_one_out,True,descriptive_active_reference_months,after_midmonth_defining_releases,110,2017-02-01,2026-05-01,0.02787967754669928,0.0003558944558498256,0.02787967754669928,-0.00016336272189783972,5.704942502293697e-07,-0.00016336272189783972,-0.0001789708191985922,-3.779523967233078e-08,-0.0001789708191985922,0.01818181818181818,0.0,-0.01818181818181818
leave_one_out_weekly_labor_stress__vs__student_t_7_combined,leave_one_out_weekly_labor_stress,student_t_7_combined,weekly_labor_stress,leave_one_out,True,descriptive_active_reference_months,before_any_defining_release,110,2017-02-01,2026-05-01,0.10948890630783494,0.030318506397150058,0.10948890630783494,0.0017052667604750336,-0.00012583934172272215,0.0017052667604750336,-0.00011117720391744629,-0.00010777167034082755,-0.00011117720391744629,-0.01818181818181818,0.0,0.01818181818181818
leave_one_out_weekly_labor_stress__vs__student_t_7_combined,leave_one_out_weekly_labor_stress,student_t_7_combined,weekly_labor_stress,leave_one_out,True,descriptive_active_reference_months,strict_pre_final_score_day,110,2017-02-01,2026-05-01,0.036277115450787524,0.0004047654125889366,0.036277115450787524,-0.00010569255258545179,4.093511246638926e-06,-0.00010569255258545179,-0.00013467770991340019,8.918616464637623e-07,-0.00013467770991340019,0.0,0.0,-0.0
add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,2.4980783651972284e-05,0.0,-2.4980783651972284e-05,1.4284866843769309e-05,0.0,-1.4284866843769309e-05,7.136604676779095e-06,0.0,-7.136604676779095e-06,0.0,0.0,0.0
add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,1.940606709552939e-05,0.0,-1.940606709552939e-05,8.020148964320438e-06,0.0,-8.020148964320438e-06,3.9318934393676115e-06,0.0,-3.9318934393676115e-06,0.0,0.0,0.0
add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,2.2331830793804025e-05,0.0,-2.2331830793804025e-05,1.3926839745894728e-05,0.0,-1.3926839745894728e-05,7.129433325631701e-06,0.0,-7.129433325631701e-06,0.0,0.0,0.0
add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,3.943709149126851e-05,0.0,-3.943709149126851e-05,6.541689594161536e-05,0.0,-6.541689594161536e-05,5.192921599746172e-05,0.0,-5.192921599746172e-05,0.0,0.0,0.0
add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,descriptive_active_reference_months,after_employment_situation,12,2018-12-01,2026-02-01,0.0004505110227602989,0.0,-0.0004505110227602989,0.00023770549020542728,0.0,-0.00023770549020542728,0.00011788124486518507,0.0,-0.00011788124486518507,0.0,0.0,0.0
add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,descriptive_active_reference_months,after_midmonth_defining_releases,12,2018-12-01,2026-02-01,0.00040535062050202814,0.0,-0.00040535062050202814,0.00013152201587044812,0.0,-0.00013152201587044812,6.465898954729862e-05,0.0,-6.465898954729862e-05,0.0,0.0,0.0
add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,descriptive_active_reference_months,before_any_defining_release,12,2018-12-01,2026-02-01,0.0003915636491419831,0.0,-0.0003915636491419831,0.00023871885074242907,0.0,-0.00023871885074242907,0.00011043858923548277,0.0,-0.00011043858923548277,0.0,0.0,0.0
add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,descriptive_active_reference_months,strict_pre_final_score_day,12,2018-12-01,2026-02-01,0.0007108237425370497,-0.0008383362877451006,-0.0007108237425370497,0.0010068224072741956,0.00016003567773792415,-0.0010068224072741956,0.0007966181585582337,0.00017108212222511666,-0.0007966181585582337,0.0,0.0,0.0
leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,-3.161320052790167e-05,0.0,-3.161320052790167e-05,-1.395056892593275e-05,0.0,-1.395056892593275e-05,-6.73325744702796e-06,0.0,-6.73325744702796e-06,0.0,0.0,-0.0
leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-1.4545531183304377e-05,0.0,-1.4545531183304377e-05,-6.280647644428955e-06,0.0,-6.280647644428955e-06,-3.075486170155462e-06,0.0,-3.075486170155462e-06,0.0,0.0,-0.0
leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,-3.62052367940132e-05,0.0,-3.62052367940132e-05,-1.7731398948341458e-05,0.0,-1.7731398948341458e-05,-8.261996735865166e-06,0.0,-8.261996735865166e-06,0.0,0.0,-0.0
leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,0.0010386079642867249,0.0,0.0010386079642867249,0.00013890951655327652,0.0,0.00013890951655327652,8.523652853289575e-05,0.0,8.523652853289575e-05,0.0,0.0,-0.0
leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,descriptive_active_reference_months,after_employment_situation,12,2018-12-01,2026-02-01,-0.00037276001952289234,0.0,-0.00037276001952289234,-0.0001926816038167837,0.0,-0.0001926816038167837,-9.404155746607576e-05,0.0,-9.404155746607576e-05,0.0,0.0,-0.0
