evaluation_sample,comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_reference,median_candidate_minus_reference,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,mean_block_benefit,block_benefit_lower,block_benefit_upper,bootstrap_probability_block_beneficial,centered_two_sided_p_value,block_length_months,calendar_segments,replications,random_seed,holm_adjusted_p_value_primary_atomic,holm_adjusted_p_value_secondary_add_one,holm_adjusted_p_value_secondary_leave_one_out,holm_adjusted_p_value_exploratory_inflation_pressure_pair
excluding_2020_03_through_2020_05,add_inflation_pressure_pair__vs__partial_only,add_inflation_pressure_pair,partial_only,inflation_pressure_pair,add_one,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,2.7094519974385433e-05,0.0,-2.0291979477584563e-08,8.13038519026326e-05,0.105,-2.7094519974385433e-05,-8.13038519026326e-05,2.0291979477584563e-08,0.105,0.23995200959808038,12,2,5000,20260722,,,,0.47990401919616077
excluding_2020_03_through_2020_05,add_one_business_investment__vs__partial_only,add_one_business_investment,partial_only,business_investment,add_one,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-4.731731225065225e-06,0.0,-1.419519367519527e-05,1.171058813192397e-18,0.882,4.731731225065225e-06,-1.1710588131923983e-18,1.419519367519527e-05,0.882,0.259748050389922,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-2.798391848307313e-05,0.0,-8.012860733963537e-05,7.498549877459691e-07,0.9576,2.798391848307313e-05,-7.498549877459691e-07,8.012860733963536e-05,0.9576,0.14297140571885622,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_housing_activity__vs__partial_only,add_one_housing_activity,partial_only,housing_activity,add_one,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,1.225421343691507e-06,0.0,-2.8161081580455365e-07,3.7634718138918026e-06,0.2264,-1.225421343691507e-06,-3.7634718138918136e-06,2.8161081580455365e-07,0.2264,0.4289142171565687,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_inflation_expectations__vs__partial_only,add_one_inflation_expectations,partial_only,inflation_expectations,add_one,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-2.0291979477863322e-08,0.0,-6.087593843358997e-08,0.0,0.6654,2.0291979477863322e-08,-0.0,6.087593843358997e-08,0.6654,0.2605478904219156,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_inflation_input_costs__vs__partial_only,add_one_inflation_input_costs,partial_only,inflation_input_costs,add_one,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,2.7114811953863294e-05,0.0,-4.346973085309065e-19,8.134443586158908e-05,0.0748,-2.7114811953863294e-05,-8.134443586158908e-05,4.346973085309053e-19,0.0748,0.18316336732653468,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,7.255548088058747e-06,0.0,-2.7415787982097843e-06,2.2369845833797617e-05,0.2762,-7.255548088058747e-06,-2.2369845833797617e-05,2.7415787982097843e-06,0.2762,0.4989002199560088,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-7.964641264472841e-06,0.0,-0.00020781286452189684,0.00014576852587416586,0.5042,7.964641264472841e-06,-0.00014576852587416586,0.00020781286452189681,0.5042,0.9290141971605679,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,leave_one_out_business_investment__vs__student_t_7_combined,leave_one_out_business_investment,student_t_7_combined,business_investment,leave_one_out,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,1.967830703432471e-06,0.0,-7.511457569232402e-09,5.911091248309727e-06,0.2822,1.967830703432471e-06,-7.511457569232402e-09,5.911091248309727e-06,0.7178,0.5008998200359928,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,2.8143591178250926e-05,0.0,-1.2021296684302196e-06,8.119350739609227e-05,0.061,2.8143591178250926e-05,-1.2021296684302196e-06,8.119350739609227e-05,0.939,0.16656668666266747,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_housing_activity__vs__student_t_7_combined,leave_one_out_housing_activity,student_t_7_combined,housing_activity,leave_one_out,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-6.060988308695791e-07,0.0,-1.9190321183981305e-06,1.5868028933888227e-07,0.767,-6.060988308695791e-07,-1.9190321183981305e-06,1.5868028933888227e-07,0.233,0.4385122975404919,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_inflation_expectations__vs__student_t_7_combined,leave_one_out_inflation_expectations,student_t_7_combined,inflation_expectations,leave_one_out,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,1.8803235334584536e-07,0.0,0.0,5.640970600375361e-07,0.0,1.8803235334584536e-07,0.0,5.640970600375361e-07,0.6596,0.23535292941411717,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_inflation_input_costs__vs__student_t_7_combined,leave_one_out_inflation_input_costs,student_t_7_combined,inflation_input_costs,leave_one_out,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-2.5041308272255517e-05,0.0,-7.515068099760986e-05,2.594239564123877e-08,0.7344,-2.5041308272255517e-05,-7.515068099760986e-05,2.594239564123877e-08,0.2646,0.4641071785642871,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-6.845478404478425e-06,0.0,-2.0536240943467832e-05,4.817301645064231e-07,0.8844,-6.845478404478425e-06,-2.0536240943467832e-05,4.817301645064231e-07,0.1156,0.2523495300939812,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_weekly_labor_stress__vs__student_t_7_combined,leave_one_out_weekly_labor_stress,student_t_7_combined,weekly_labor_stress,leave_one_out,True,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,8.286489610630054e-06,0.0,-0.0001434966330936022,0.00021388167803372188,0.5006,8.286489610630054e-06,-0.0001434966330936022,0.00021388167803372188,0.4994,0.9306138772245551,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_out_inflation_pressure_pair__vs__student_t_7_combined,leave_out_inflation_pressure_pair,student_t_7_combined,inflation_pressure_pair,leave_one_out,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,180,-2.4853295674413194e-05,0.0,-7.459557952258762e-05,2.0060583379874372e-07,0.724,-2.4853295674413194e-05,-7.459557952258762e-05,2.0060583379874372e-07,0.2746,0.46690661867626476,12,2,5000,20260722,,,,0.47990401919616077
excluding_2020_03_through_2020_05,add_inflation_pressure_pair__vs__partial_only,add_inflation_pressure_pair,partial_only,inflation_pressure_pair,add_one,False,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,5.7480006660622546e-05,0.0,-4.685379934279668e-08,0.00017244001998186148,0.0774,-5.7480006660622546e-05,-0.00017244001998186148,4.685379934279668e-08,0.0774,0.22155568886222757,12,2,5000,20260722,,,,0.44311137772445514
excluding_2020_03_through_2020_05,add_one_business_investment__vs__partial_only,add_one_business_investment,partial_only,business_investment,add_one,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-9.630487455148138e-06,0.0,-2.889146236548327e-05,2.528841333868412e-17,0.7018,9.630487455148138e-06,-2.528841333868412e-17,2.889146236548327e-05,0.7018,0.5312937412517497,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-5.60843548604741e-05,0.0,-0.00016323846147343652,2.8031468566478235e-06,0.9274,5.60843548604741e-05,-2.8031468566478303e-06,0.00016323846147343652,0.9274,0.1903619276144771,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_housing_activity__vs__partial_only,add_one_housing_activity,partial_only,housing_activity,add_one,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,2.3067776952712117e-06,0.0,-8.059017844163105e-07,7.457600942091385e-06,0.2178,-2.3067776952712117e-06,-7.457600942091385e-06,8.059017844163105e-07,0.2178,0.4081183763247351,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_inflation_expectations__vs__partial_only,add_one_inflation_expectations,partial_only,inflation_expectations,add_one,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-4.6853799346497425e-08,0.0,-1.4056139803949227e-07,0.0,0.6544,4.6853799346497425e-08,-0.0,1.4056139803949227e-07,0.6544,0.46350729854029193,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_inflation_input_costs__vs__partial_only,add_one_inflation_input_costs,partial_only,inflation_input_costs,add_one,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,5.752686045996904e-05,0.0,-1.2335811384723962e-18,0.00017258058137989974,0.039,-5.752686045996904e-05,-0.00017258058137989974,1.2335811384723962e-18,0.039,0.16336732653469307,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,1.452294795783213e-05,0.0,-5.73548701312051e-06,4.4892928596022995e-05,0.0858,-1.452294795783213e-05,-4.4892928596022995e-05,5.73548701312051e-06,0.0858,0.22835432913417317,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.0001365730729716522,0.0,-0.0005325135675754235,0.00019401043619731996,0.7602,0.0001365730729716522,-0.00019401043619732004,0.0005325135675754234,0.7602,0.47010597880423916,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,leave_one_out_business_investment__vs__student_t_7_combined,leave_one_out_business_investment,student_t_7_combined,business_investment,leave_one_out,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,3.993825111194776e-06,0.0,-2.0241471103718854e-08,1.2002287771337909e-05,0.2454,3.993825111194776e-06,-2.0241471103718854e-08,1.2002287771337909e-05,0.7546,0.45190961807638474,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,5.6498513868167656e-05,0.0,-3.7767668575858837e-06,0.00016599972083672484,0.09,5.6498513868167656e-05,-3.7767668575858837e-06,0.00016599972083672484,0.91,0.21775644871025795,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_housing_activity__vs__student_t_7_combined,leave_one_out_housing_activity,student_t_7_combined,housing_activity,leave_one_out,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-1.0637723317860923e-06,0.0,-3.9490941943600025e-06,7.878262330394804e-07,0.7656,-1.0637723317860923e-06,-3.9490941943600025e-06,7.878262330394804e-07,0.2344,0.4409118176364727,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_inflation_expectations__vs__student_t_7_combined,leave_one_out_inflation_expectations,student_t_7_combined,inflation_expectations,leave_one_out,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,3.467373846624236e-07,0.0,0.0,1.0402121539872706e-06,0.0,3.467373846624236e-07,0.0,1.0402121539872706e-06,0.655,0.6086782643471306,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_inflation_input_costs__vs__student_t_7_combined,leave_one_out_inflation_input_costs,student_t_7_combined,inflation_input_costs,leave_one_out,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-5.262528642677116e-05,0.0,-0.0001579254257228895,4.8993210464358994e-08,0.724,-5.262528642677116e-05,-0.0001579254257228895,4.8993210464358994e-08,0.2736,0.47170565886822635,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-1.418307840803163e-05,0.0,-4.254912587681983e-05,8.175186552637307e-07,0.8822,-1.418307840803163e-05,-4.254912587681983e-05,8.175186552637307e-07,0.1178,0.2589482103579284,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_weekly_labor_stress__vs__student_t_7_combined,leave_one_out_weekly_labor_stress,student_t_7_combined,weekly_labor_stress,leave_one_out,True,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,0.00013777396035911783,0.0,-0.00018614554841318105,0.0005327501417974389,0.234,0.00013777396035911783,-0.00018614554841318105,0.0005327501417974389,0.766,0.45810837832433515,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_out_inflation_pressure_pair__vs__student_t_7_combined,leave_out_inflation_pressure_pair,student_t_7_combined,inflation_pressure_pair,leave_one_out,False,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,180,-5.2278587191129714e-05,0.0,-0.00015721742552398096,3.6867295477931303e-07,0.7322,-5.2278587191129714e-05,-0.00015721742552398096,3.6867295477931303e-07,0.2664,0.45770845830833834,12,2,5000,20260722,,,,0.45770845830833834
excluding_2020_03_through_2020_05,add_inflation_pressure_pair__vs__partial_only,add_inflation_pressure_pair,partial_only,inflation_pressure_pair,add_one,False,after_employment_situation,score_center_negative_log_predictive_density,lower,180,0.00018701229202846312,0.0,0.0,0.0005610368760853721,0.0178,-0.00018701229202846312,-0.0005610368760853721,0.0,0.0178,0.1279744051189762,12,2,5000,20260722,,,,0.2559488102379524
excluding_2020_03_through_2020_05,add_one_business_investment__vs__partial_only,add_one_business_investment,partial_only,business_investment,add_one,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-2.48713874739072e-05,0.0,-7.461416242187242e-05,1.654579251386678e-16,0.7618,2.48713874739072e-05,-1.6545792513866785e-16,7.461416242187242e-05,0.7618,0.45610877824435114,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.00017040634417168487,0.0,-0.0004590746318309727,8.556814254356924e-06,0.9522,0.00017040634417168487,-8.556814254356924e-06,0.0004590746318309724,0.9522,0.14757048590281943,12,2,5000,20260722,1.0,0.7666466706658668,,
excluding_2020_03_through_2020_05,add_one_housing_activity__vs__partial_only,add_one_housing_activity,partial_only,housing_activity,add_one,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,5.592962060727168e-06,0.0,-2.2070139545861707e-06,1.8748743902433283e-05,0.2314,-5.592962060727168e-06,-1.8748743902433283e-05,2.2070139545861707e-06,0.2314,0.4371125774845031,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_inflation_expectations__vs__partial_only,add_one_inflation_expectations,partial_only,inflation_expectations,add_one,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,3.177422740647313e-06,0.0,0.0,9.532268221941939e-06,0.0,-3.177422740647313e-06,-9.532268221941939e-06,0.0,0.0,0.5128974205158968,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_inflation_input_costs__vs__partial_only,add_one_inflation_input_costs,partial_only,inflation_input_costs,add_one,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,0.00018383486928781828,0.0,0.0,0.0005515046078634425,0.0232,-0.00018383486928781828,-0.0005515046078634425,0.0,0.0232,0.1277744451109778,12,2,5000,20260722,1.0,0.7666466706658668,,
excluding_2020_03_through_2020_05,add_one_monthly_labor_demand__vs__partial_only,add_one_monthly_labor_demand,partial_only,monthly_labor_demand,add_one,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,2.5397130046171823e-05,0.0,-1.8470234137474902e-05,8.082832827637252e-05,0.2396,-2.5397130046171823e-05,-8.082832827637252e-05,1.8470234137474902e-05,0.2396,0.4405118976204759,12,2,5000,20260722,1.0,1.0,,
excluding_2020_03_through_2020_05,add_one_weekly_labor_stress__vs__partial_only,add_one_weekly_labor_stress,partial_only,weekly_labor_stress,add_one,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.003018191575718196,0.0,-0.004238311876310174,-0.0017359300839472035,1.0,0.003018191575718196,0.0017359300839472033,0.004238311876310174,1.0,0.0001999600079984003,12,2,5000,20260722,0.0027994401119776045,0.0013997200559888023,,
excluding_2020_03_through_2020_05,leave_one_out_business_investment__vs__student_t_7_combined,leave_one_out_business_investment,student_t_7_combined,business_investment,leave_one_out,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,1.0377254592798072e-05,0.0,-5.700214040902744e-08,3.1181505865434345e-05,0.2228,1.0377254592798072e-05,-5.700214040902744e-08,3.1181505865434345e-05,0.7772,0.42391521695660866,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_consumer_demand__vs__student_t_7_combined,leave_one_out_consumer_demand,student_t_7_combined,consumer_demand,leave_one_out,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,0.00016927669563575933,0.0,-6.951860464866134e-06,0.00046550710611342993,0.0396,0.00016927669563575933,-6.951860464866134e-06,0.00046550710611342993,0.9604,0.13937212557488501,12,2,5000,20260722,1.0,,0.8362327534493101,
excluding_2020_03_through_2020_05,leave_one_out_housing_activity__vs__student_t_7_combined,leave_one_out_housing_activity,student_t_7_combined,housing_activity,leave_one_out,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-2.603687453786277e-06,0.0,-9.683092732946475e-06,2.1164469707969874e-06,0.7748,-2.603687453786277e-06,-9.683092732946475e-06,2.1164469707969874e-06,0.2252,0.4327134573085383,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_inflation_expectations__vs__student_t_7_combined,leave_one_out_inflation_expectations,student_t_7_combined,inflation_expectations,leave_one_out,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-2.4653306021107624e-06,0.0,-7.395991806332288e-06,0.0,0.6656,-2.4653306021107624e-06,-7.395991806332288e-06,0.0,0.0,0.40091981603679266,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_inflation_input_costs__vs__student_t_7_combined,leave_one_out_inflation_input_costs,student_t_7_combined,inflation_input_costs,leave_one_out,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.00016745800733106967,0.0,-0.0005025127886526288,1.154163177694012e-07,0.7272,-0.00016745800733106967,-0.0005025127886526288,1.154163177694012e-07,0.2716,0.47630473905218956,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-3.2140087203366694e-05,0.0,-9.641835524146028e-05,1.6394154943156892e-09,0.898,-3.2140087203366694e-05,-9.641835524146028e-05,1.6394154943156892e-09,0.102,0.23155368926214756,12,2,5000,20260722,1.0,,1.0,
excluding_2020_03_through_2020_05,leave_one_out_weekly_labor_stress__vs__student_t_7_combined,leave_one_out_weekly_labor_stress,student_t_7_combined,weekly_labor_stress,leave_one_out,True,after_employment_situation,score_center_negative_log_predictive_density,lower,180,0.0030242950517513295,0.0,0.0017180603702616887,0.004293890556735612,0.0,0.0030242950517513295,0.0017180603702616887,0.004293890556735612,1.0,0.0001999600079984003,12,2,5000,20260722,0.0027994401119776045,,0.0013997200559888023,
excluding_2020_03_through_2020_05,leave_out_inflation_pressure_pair__vs__student_t_7_combined,leave_out_inflation_pressure_pair,student_t_7_combined,inflation_pressure_pair,leave_one_out,False,after_employment_situation,score_center_negative_log_predictive_density,lower,180,-0.00016992343122154634,0.0,-0.0005098974395878033,1.0952992620768788e-07,0.786,-0.00016992343122154634,-0.0005098974395878033,1.0952992620768788e-07,0.212,0.3783243351329734,12,2,5000,20260722,,,,0.3783243351329734
excluding_2020_03_through_2020_05,add_inflation_pressure_pair__vs__partial_only,add_inflation_pressure_pair,partial_only,inflation_pressure_pair,add_one,False,after_midmonth_defining_releases,hard_quadrant_correct,higher,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,2,5000,20260722,,,,1.0
