filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
leave_out_inflation_pressure_pair,sensitivity,after_employment_situation,183,7.609380450743189,1.4336416651240282,0.10092925237633926,0.3695350583877799,0.5355191256830601,2.0661723232701417,0.6388795752042441,1.5784978715074454,4
leave_one_out_inflation_input_costs,sensitivity,after_employment_situation,183,7.6093828757502955,1.4336413241083865,0.10092906744591515,0.36953471737213833,0.5355191256830601,2.0661714147860106,0.638881061728243,1.5784978715074454,4
leave_one_out_monthly_labor_demand,sensitivity,after_employment_situation,183,7.6095159753438635,1.4336791361162742,0.10094696498349001,0.3695725293800256,0.5300546448087432,2.066173755852284,0.6389606242912971,1.5784978715074454,4
add_one_weekly_labor_stress,sensitivity,after_employment_situation,183,7.609533383280513,1.4336865886207735,0.10095167770485818,0.369579981884525,0.5355191256830601,2.0661754604933265,0.6389521647231449,1.5784959587290426,4
leave_one_out_inflation_expectations,sensitivity,after_employment_situation,183,7.609545163629045,1.433693427738365,0.10095388319079279,0.3695868210021168,0.5300546448087432,2.0661742933480856,0.6389822065336843,1.5784978715074454,4
student_t_7_combined,baseline,after_employment_situation,183,7.60954758854439,1.4336930866851998,0.10095369824093706,0.3695864799489515,0.5300546448087432,2.066173384786345,0.6389836927874762,1.5784978715074454,4
leave_one_out_housing_activity,sensitivity,after_employment_situation,183,7.609549529169405,1.4336920395028698,0.10095310207634743,0.3695854327666214,0.5300546448087432,2.066175996380633,0.6389819828746444,1.5784979121231801,4
leave_one_out_business_investment,sensitivity,after_employment_situation,183,7.609557795347004,1.433697015037773,0.10095563381212483,0.3695904083015248,0.5300546448087432,2.0661733833498968,0.6389905691863509,1.57849788009363,4
leave_one_out_consumer_demand,sensitivity,after_employment_situation,183,7.609714383377411,1.4337486589110457,0.10098138043511817,0.3696420521747973,0.5355191256830601,2.0661731328434194,0.6390724307148818,1.578495895143322,4
add_one_consumer_demand,sensitivity,after_employment_situation,183,7.6614470859696535,1.4337518836485341,0.1009308570513898,0.3696452769122859,0.5245901639344263,2.1063726212638163,0.6381720683740998,1.5908013247910653,4
add_one_business_investment,sensitivity,after_employment_situation,183,7.661590235107382,1.4337975759771298,0.10095372805525014,0.36969096924088124,0.5245901639344263,2.1063730481712217,0.6382433263151167,1.5908013247910653,4
partial_only,major_benchmark,after_employment_situation,183,7.661614698767194,1.4338070485877414,0.10095838221711084,0.3697004418514929,0.5245901639344263,2.106373065319172,0.6382599129681908,1.5908013247910653,4
add_one_inflation_expectations,sensitivity,after_employment_situation,183,7.661617824101036,1.433807002502037,0.10095836225778677,0.3697003957657886,0.5245901639344263,2.1063728002623208,0.6382616233315156,1.5908013247910653,4
add_one_housing_activity,sensitivity,after_employment_situation,183,7.661620200041352,1.4338093175494089,0.10095958754958005,0.36970271081316036,0.5245901639344263,2.106373153884663,0.6382636355771704,1.5908013247910653,4
add_one_monthly_labor_demand,sensitivity,after_employment_situation,183,7.661639679550845,1.4338213334545848,0.10096551882178763,0.36971472671833666,0.5245901639344263,2.1063699652413796,0.6382831325841901,1.5908013247910653,4
leave_one_out_weekly_labor_stress,sensitivity,after_employment_situation,183,7.66163970230192,1.4338147269210497,0.10096071929688884,0.36970812018480154,0.5245901639344263,2.106374025935572,0.6382938088826291,1.5908013247910653,4
add_one_inflation_input_costs,sensitivity,after_employment_situation,183,7.6617955199500996,1.433863632384915,0.10098505252395071,0.36975702564866664,0.5245901639344263,2.1063769013161013,0.6383703672106926,1.5908013247910653,4
add_inflation_pressure_pair,sensitivity,after_employment_situation,183,7.661798645283943,1.4338635862992106,0.10098503256462664,0.36975697956296233,0.5245901639344263,2.1063766362597325,0.638372077278082,1.5908013247910653,4
transition_only,major_benchmark,after_employment_situation,183,26.921564943923837,1.5352751723987836,0.14960599995954502,0.4711685656625354,0.36065573770491804,4.2942263845073,0.738680411033734,1.8200796566973392,4
leave_one_out_inflation_input_costs,sensitivity,after_midmonth_defining_releases,183,5.750983906469441,1.3008589326276756,0.03336184312335636,0.23675232589142722,0.7704918032786885,1.4242519013851036,0.4921947470519641,-0.6690184784530571,4
leave_out_inflation_pressure_pair,sensitivity,after_midmonth_defining_releases,183,5.75099094566182,1.3008600464018258,0.03336234828479706,0.23675343966557733,0.7704918032786885,1.4242521129798453,0.49219782157454256,-0.6690184784530571,4
leave_one_out_housing_activity,sensitivity,after_midmonth_defining_releases,183,5.751079739146307,1.3009305638411781,0.033434343061750506,0.23682395710492976,0.7759562841530054,1.424404688410855,0.4921474618704127,-0.6690184784530571,4
leave_one_out_business_investment,sensitivity,after_midmonth_defining_releases,183,5.75111368794527,1.3009427695593139,0.033410229800834856,0.23683616282306552,0.7759562841530054,1.4243792991578557,0.4923018845984456,-0.6690184784530571,4
leave_one_out_monthly_labor_demand,sensitivity,after_midmonth_defining_releases,183,5.751265322352252,1.300959932241675,0.0334186911239956,0.2368533255054265,0.7704918032786885,1.4244492105253035,0.49226817325536437,-0.6690184784530571,4
student_t_7_combined,baseline,after_midmonth_defining_releases,183,5.751279867883434,1.3009662128893194,0.03342176661016575,0.23685960615307095,0.7704918032786885,1.4244490086437498,0.49228133240816513,-0.6690184784530571,4
leave_one_out_inflation_expectations,sensitivity,after_midmonth_defining_releases,183,5.751287710500446,1.3009674606806618,0.03342232889267483,0.2368608539444133,0.7704918032786885,1.4244494236418914,0.49228454350047524,-0.6690184784530571,4
add_one_consumer_demand,sensitivity,after_midmonth_defining_releases,183,5.7672702762545995,1.300682779345422,0.033243961048747966,0.23657617260917388,0.7868852459016393,1.4459094655737696,0.4910077223587227,-0.6690184784530571,4
leave_one_out_weekly_labor_stress,sensitivity,after_midmonth_defining_releases,183,5.768038144004402,1.3008680167176867,0.03331418852212288,0.2367614099814384,0.7814207650273224,1.446255789604991,0.49122064411012245,-0.6690184784530571,4
add_one_weekly_labor_stress,sensitivity,after_midmonth_defining_releases,183,5.820161281385008,1.3006237938503054,0.03332793189727663,0.23651718711405703,0.819672131147541,1.425412835580444,0.4879595428864561,-0.6202190341688436,4
leave_one_out_consumer_demand,sensitivity,after_midmonth_defining_releases,183,5.820455540871875,1.300831737443823,0.033418724278718975,0.2367251307075747,0.7978142076502732,1.4258879392774881,0.48816973277292075,-0.6201936759817666,4
add_inflation_pressure_pair,sensitivity,after_midmonth_defining_releases,183,5.83752742231702,1.3006486590666453,0.03330976174919929,0.23654205233039685,0.825136612021858,1.4476735858750485,0.48698624237012816,-0.6200446770410959,4
add_one_inflation_expectations,sensitivity,after_midmonth_defining_releases,183,5.83753293305635,1.3005402935556698,0.03325243095192671,0.2364336868194214,0.825136612021858,1.447481878784535,0.4868906273705974,-0.6200446770410959,4
add_one_inflation_input_costs,sensitivity,after_midmonth_defining_releases,183,5.8375352866199455,1.3006499081815546,0.03331032428072606,0.23654330144530628,0.825136612021858,1.4476738129080011,0.4869896653949677,-0.6200446770410959,4
partial_only,major_benchmark,after_midmonth_defining_releases,183,5.837540021332154,1.300541413878924,0.03325293903669275,0.23643480714267567,0.825136612021858,1.4474819172144902,0.48689390958270506,-0.6200446770410959,4
add_one_monthly_labor_demand,sensitivity,after_midmonth_defining_releases,183,5.83755942739925,1.3005494340278883,0.03325687093013212,0.23644282729164,0.825136612021858,1.4474814661976567,0.48691063394421075,-0.620019201565716,4
add_one_business_investment,sensitivity,after_midmonth_defining_releases,183,5.837660597937604,1.3005781082835581,0.033270514437497414,0.23647150154730978,0.819672131147541,1.4475950621496965,0.4868647170371512,-0.6200446770410959,4
add_one_housing_activity,sensitivity,after_midmonth_defining_releases,183,5.837841595513376,1.300624591095437,0.03328258008695042,0.2365179843591888,0.825136612021858,1.4477305547347348,0.48702769746371855,-0.6200446770410959,4
transition_only,major_benchmark,after_midmonth_defining_releases,183,26.922755837009575,1.5377273185249019,0.1508975850118537,0.47362071178865345,0.3442622950819672,4.2948042542452045,0.7381280264008367,1.8200796566973392,4
leave_one_out_inflation_input_costs,sensitivity,before_any_defining_release,183,26.854894254153596,1.5358764764725497,0.15055771231009957,0.4717698697363015,0.37158469945355194,4.245508599238723,0.7349908377545943,1.8200796566973387,4
leave_out_inflation_pressure_pair,sensitivity,before_any_defining_release,183,26.854894845130428,1.5358791029612682,0.15055911114353393,0.47177249622501977,0.37158469945355194,4.245519360911589,0.73499011958359,1.8200796566973387,4
