checkpoint_id,filter_variant,as_of_date,checkpoint_type,regime_0,regime_1,regime_2,regime_3,probability,sobol_samples,maximum_marginal_probability_error
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_down,0.0074462890625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_up,0.0048828125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_up,0.0057373046875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_down,0.00311279296875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_down,0.002197265625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_up,growth_up_inflation_up,0.00689697265625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_up,growth_down_inflation_up,0.009033203125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_up,growth_up_inflation_down,0.005615234375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_up,growth_down_inflation_down,0.00390625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_down,growth_up_inflation_up,0.00274658203125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_down,growth_down_inflation_up,0.003173828125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_down,growth_up_inflation_down,0.00299072265625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_down,growth_down_inflation_down,0.00244140625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_down,growth_up_inflation_up,0.00201416015625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_down,growth_down_inflation_up,0.004638671875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_down,growth_up_inflation_down,0.00384521484375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_down,growth_down_inflation_down,0.002685546875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_up,growth_up_inflation_up,0.00469970703125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_up,growth_down_inflation_up,0.005859375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_up,growth_up_inflation_down,0.00347900390625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_up,growth_down_inflation_down,0.0023193359375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_up,growth_up_inflation_up,0.0068359375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_up,growth_down_inflation_up,0.0087890625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_up,growth_up_inflation_down,0.00537109375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_up,growth_down_inflation_down,0.00396728515625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_down,growth_up_inflation_up,0.0020751953125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_down,growth_down_inflation_up,0.0025634765625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_down,growth_up_inflation_down,0.002685546875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_down,growth_down_inflation_down,0.002197265625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_down,growth_up_inflation_up,0.00213623046875,16384,0.001393725632879178
