evaluation_checkpoint,comparison,evaluation_months,evaluation_rows,growth_score_rmse,inflation_score_rmse,mean_score_center_negative_log_predictive_density,median_score_center_negative_log_predictive_density,nonmissing_score_center_negative_log_predictive_density,mean_quadrant_cross_entropy_to_exact_score_map,median_quadrant_cross_entropy_to_exact_score_map,nonmissing_quadrant_cross_entropy_to_exact_score_map,mean_quadrant_brier_distance_to_exact_score_map,median_quadrant_brier_distance_to_exact_score_map,nonmissing_quadrant_brier_distance_to_exact_score_map,mean_quadrant_kl_divergence_to_exact_score_map,median_quadrant_kl_divergence_to_exact_score_map,nonmissing_quadrant_kl_divergence_to_exact_score_map
post_release_pre_exact_sensitivity,evidence_filter,188,188,3.4431429597858165,0.8515572793139283,28.032173144583957,1.7657931578916752,188.0,1.5730080128710486,1.3637579358395944,188.0,0.15962060327238184,0.09331778561812329,188.0,0.5154200947266703,0.2172018736552046,188.0
post_release_pre_exact_sensitivity,transition_only,188,188,4.238196732280182,0.7327672591178319,26.246688684230705,1.8170935832262434,188.0,1.5274742172966274,1.363215503194331,188.0,0.15130438721417613,0.08501281736878408,188.0,0.46988629915224894,0.20104430615499025,188.0
strict_pre_day,evidence_filter,188,188,3.441191556900249,0.8522150423902026,28.031465239160998,1.7702014539367767,188.0,1.5726184994752457,1.3637579358395944,188.0,0.15973834786451907,0.09246506168656336,188.0,0.5150305813308674,0.2172018736552046,188.0
strict_pre_day,transition_only,188,188,4.238196732280182,0.7327672591178319,26.246688684230705,1.8170935832262434,188.0,1.5274742172966274,1.363215503194331,188.0,0.15130438721417613,0.08501281736878408,188.0,0.46988629915224894,0.20104430615499025,188.0
post_release_pre_exact_sensitivity,evidence_filter_minus_transition_only,188,188,-0.7950537724943652,0.11879002019609641,1.7854844603532527,-0.051300425334568134,,0.045533795574421276,0.0005424326452634354,,0.008316216058205705,0.008304968249339212,,0.04553379557442133,0.016157567500214354,
strict_pre_day,evidence_filter_minus_transition_only,188,188,-0.7970051753799328,0.11944778327237071,1.7847765549302927,-0.04689212928946662,,0.04514428217861832,0.0005424326452634354,,0.008433960650342937,0.007452244317779286,,0.04514428217861849,0.016157567500214354,
