filter_variant,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
gaussian_combined,after_employment_situation,183,7.166975792689135,1.4340939686015786,0.10102064121459711,0.3699873618653304,0.5245901639344263,1.6757061140887488,0.6544849103979801,1.5904631099438478,4
student_t_7_combined,after_employment_situation,183,7.60954758854439,1.4336930866851998,0.10095369824093706,0.3695864799489515,0.5300546448087432,2.066173384786345,0.6389836927874762,1.5784978715074454,4
selected_tail_combined,after_employment_situation,183,7.638690925334652,1.4337454586086735,0.10100616168552895,0.3696388518724252,0.5355191256830601,2.0906251861094516,0.6380412843467944,1.5786442419370805,4
partial_only,after_employment_situation,183,7.661614698767194,1.4338070485877414,0.10095838221711084,0.3697004418514929,0.5245901639344263,2.106373065319172,0.6382599129681908,1.5908013247910653,4
retail_real_decomposition_combined,after_employment_situation,183,12.960021290167226,1.43271305598846,0.10054952935135149,0.36860644925221153,0.5136612021857924,2.4706803293568997,0.6212623867035739,1.1678452663060594,4
huber_var_combined,after_employment_situation,183,12.960826260946785,1.4328309935026624,0.10060690077418201,0.368724386766414,0.5136612021857924,2.470682206197179,0.6215942264359718,1.167844144064489,4
retail_shrinkage_combined,after_employment_situation,183,12.960864039665111,1.4328423168417572,0.10061254960313111,0.368735710105509,0.5136612021857924,2.4706829355577646,0.6216097318190691,1.1678441269556714,4
student_t_var_combined,after_employment_situation,183,13.625355291351495,1.4363238373378606,0.10238005134418124,0.3722172306016121,0.47540983606557374,2.4711027907669383,0.6233667323648427,0.7982347847065859,4
gaussian_nondefining,after_employment_situation,183,26.298556055696583,1.5348260626098467,0.149358770201696,0.47071945587359837,0.36065573770491804,3.9078532625082048,0.7605135570295952,1.8200796566973385,4
transition_only,after_employment_situation,183,26.921564943923837,1.5352751723987836,0.14960599995954502,0.4711685656625354,0.36065573770491804,4.2942263845073,0.738680411033734,1.8200796566973392,4
student_t_7_combined,after_midmonth_defining_releases,183,5.751279867883434,1.3009662128893194,0.03342176661016575,0.23685960615307095,0.7704918032786885,1.4244490086437498,0.49228133240816513,-0.6690184784530571,4
selected_tail_combined,after_midmonth_defining_releases,183,5.757354798447821,1.3012501158794325,0.03360502196609738,0.2371435091431842,0.7650273224043715,1.4390382326197466,0.49205228746629337,-0.7069892868802683,4
partial_only,after_midmonth_defining_releases,183,5.837540021332154,1.300541413878924,0.03325293903669275,0.23643480714267567,0.825136612021858,1.4474819172144902,0.48689390958270506,-0.6200446770410959,4
gaussian_combined,after_midmonth_defining_releases,183,6.210159015346665,1.3004491904639879,0.03282430028414818,0.23634258372773964,0.7978142076502732,1.0742467209456688,0.5551601368654783,-0.696803662492606,4
retail_real_decomposition_combined,after_midmonth_defining_releases,183,10.453715514989783,1.2978225492582673,0.03235212068386436,0.23371594252201885,0.7486338797814208,1.9686706181931346,0.4540632050331671,-0.6200828721557086,4
retail_shrinkage_combined,after_midmonth_defining_releases,183,10.496065330107749,1.3006024394478952,0.03317500841258826,0.2364958327116469,0.7704918032786885,1.9682570169475964,0.4773421636573764,-0.6895968133848838,4
huber_var_combined,after_midmonth_defining_releases,183,10.499124298358286,1.3006015048069135,0.033141968658176445,0.23649489807066523,0.7704918032786885,1.9682664669190755,0.4779972904840744,-0.7085074288455664,4
student_t_var_combined,after_midmonth_defining_releases,183,11.342927084628128,1.3020439549407774,0.033779748602359924,0.2379373482045291,0.7431693989071039,2.0238840468502852,0.46618595869925894,-0.7245338478344716,4
transition_only,after_midmonth_defining_releases,183,26.922755837009575,1.5377273185249019,0.1508975850118537,0.47362071178865345,0.3442622950819672,4.2948042542452045,0.7381280264008367,1.8200796566973392,4
gaussian_nondefining,after_midmonth_defining_releases,183,27.87440868103007,1.5626935765727217,0.1558261477287396,0.49858696983647327,0.3333333333333333,3.513396233882216,0.8744635223462277,1.7709750037445822,4
gaussian_combined,before_any_defining_release,183,26.29780419002335,1.5362912522567187,0.15016475097862025,0.4721846455204704,0.36065573770491804,3.9083047210910276,0.7603318169594128,1.8200796566973387,4
gaussian_nondefining,before_any_defining_release,183,26.29864323329046,1.5348418765957108,0.1493660720376744,0.47073526985946257,0.36065573770491804,3.907865871411235,0.760508313770158,1.8200796566973385,4
