profile_id,observation_model_id,base_lambda,degrees_of_freedom,validation_folds,validation_observations,total_predictive_nll,mean_predictive_nll,best_tail_for_profile,selection_role,sensitivity_status
retail_real,consumer_demand_real_decomposition,0.1,4.0,15,172,333.0959459715865,1.9366043370441075,True,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
retail_real,consumer_demand_real_decomposition,0.1,5.0,15,172,336.88547446636926,1.9586364794556352,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
retail_real,consumer_demand_real_decomposition,0.001,7.0,15,172,344.9627823389143,2.005597571737874,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
retail_real,consumer_demand_real_decomposition,0.001,10.0,15,172,356.16149152865836,2.070706346096851,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
retail_real,consumer_demand_real_decomposition,1.0,inf,15,172,598.5179651591313,3.4797556113902983,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
retail_stronger,consumer_demand,1.0,4.0,15,172,320.5068596307701,1.8634119745975006,True,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
retail_stronger,consumer_demand,1.0,5.0,15,172,326.97230204855487,1.9010017560962493,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
retail_stronger,consumer_demand,1.0,7.0,15,172,339.52039920923403,1.973955809356012,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
retail_stronger,consumer_demand,1.0,10.0,15,172,355.967885362323,2.069580728850715,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
retail_stronger,consumer_demand,1.0,inf,15,172,681.9585052064607,3.9648750302701203,False,full-history causal-fold diagnostic only; live schedule uses prior folds,evaluated
