evaluation_sample,filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
full_sample,gaussian_combined,sensitivity,after_employment_situation,183,7.166975792689135,1.4340939686015786,0.10102064121459711,0.3699873618653304,0.5245901639344263,1.6757061140887488,0.6544849103979801,1.5904631099438478,4
full_sample,student_t_7_combined,baseline,after_employment_situation,183,7.60954758854439,1.4336930866851998,0.10095369824093706,0.3695864799489515,0.5300546448087432,2.066173384786345,0.6389836927874762,1.5784978715074454,4
full_sample,selected_tail_combined,sensitivity,after_employment_situation,183,7.638690925334652,1.4337454586086735,0.10100616168552895,0.3696388518724252,0.5355191256830601,2.0906251861094516,0.6380412843467944,1.5786442419370805,4
full_sample,partial_only,major_benchmark,after_employment_situation,183,7.661614698767194,1.4338070485877414,0.10095838221711084,0.3697004418514929,0.5245901639344263,2.106373065319172,0.6382599129681908,1.5908013247910653,4
full_sample,retail_real_decomposition_combined,sensitivity,after_employment_situation,183,12.960021290167226,1.43271305598846,0.10054952935135149,0.36860644925221153,0.5136612021857924,2.4706803293568997,0.6212623867035739,1.1678452663060594,4
full_sample,huber_var_combined,sensitivity,after_employment_situation,183,12.960826260946785,1.4328309935026624,0.10060690077418201,0.368724386766414,0.5136612021857924,2.470682206197179,0.6215942264359718,1.167844144064489,4
full_sample,retail_shrinkage_combined,sensitivity,after_employment_situation,183,12.960864039665111,1.4328423168417572,0.10061254960313111,0.368735710105509,0.5136612021857924,2.4706829355577646,0.6216097318190691,1.1678441269556714,4
full_sample,student_t_var_combined,sensitivity,after_employment_situation,183,13.625355291351495,1.4363238373378606,0.10238005134418124,0.3722172306016121,0.47540983606557374,2.4711027907669383,0.6233667323648427,0.7982347847065859,4
full_sample,gaussian_nondefining,sensitivity,after_employment_situation,183,26.298556055696583,1.5348260626098467,0.149358770201696,0.47071945587359837,0.36065573770491804,3.9078532625082048,0.7605135570295952,1.8200796566973385,4
full_sample,transition_only,major_benchmark,after_employment_situation,183,26.921564943923837,1.5352751723987836,0.14960599995954502,0.4711685656625354,0.36065573770491804,4.2942263845073,0.738680411033734,1.8200796566973392,4
