variant_id,model_role,as_of_date,reference_month,relative_month,growth_mean,inflation_mean,growth_variance,growth_inflation_covariance,inflation_variance,exact_score,probability_growth_up_inflation_up,probability_growth_down_inflation_up,probability_growth_up_inflation_down,probability_growth_down_inflation_down
transition_only,major_benchmark,2026-07-20,2026-04-01,-3,0.1247488547515804,0.7735514248814588,0.0,0.0,0.0,True,0.4660393163342353,0.4010957422368248,0.07160639116635031,0.06125855026258964
transition_only,major_benchmark,2026-07-20,2026-05-01,-2,0.0273944260020107,0.4104760171455257,0.0,0.0,0.0,True,0.36701084096501885,0.35558619001000596,0.14126774180639784,0.13613522721857735
transition_only,major_benchmark,2026-07-20,2026-06-01,-1,-0.023333046885164424,0.3300302365229643,11.548092104318513,-0.98905363468887,0.41273924858223887,False,0.27298485381285553,0.3633546903168853,0.2244618184741134,0.1391986373961458
transition_only,major_benchmark,2026-07-20,2026-07-01,0,-0.08134310248431281,0.2798906311821805,11.80511690878468,-0.863055222579518,0.521747896190112,False,0.2633924204869367,0.34656812102858203,0.2277917301632636,0.1622477283212177
gaussian_nondefining,sensitivity,2026-07-20,2026-04-01,-3,0.1247488547515804,0.7735514248814588,0.0,0.0,0.0,True,0.4660393163342353,0.4010957422368248,0.07160639116635031,0.06125855026258964
gaussian_nondefining,sensitivity,2026-07-20,2026-05-01,-2,0.0273944260020107,0.4104760171455257,0.0,0.0,0.0,True,0.36701084096501885,0.35558619001000596,0.14126774180639784,0.13613522721857735
gaussian_nondefining,sensitivity,2026-07-20,2026-06-01,-1,-0.49147271161673367,0.31865593836902456,2.391275031629284,-0.23832643557550962,0.3504327582349949,False,0.23848207500906407,0.3979847791243041,0.16601348252784884,0.19751966333878304
gaussian_nondefining,sensitivity,2026-07-20,2026-07-01,0,-0.11274401783058388,0.2318179029041997,11.626725213296908,-0.8706081316949046,0.5207326143639884,False,0.25121356197742295,0.3402751706694358,0.2364870980451007,0.17202416930804054
partial_only,major_benchmark,2026-07-20,2026-04-01,-3,0.1247488547515804,0.7735514248814588,0.0,0.0,0.0,True,0.4660393163342353,0.4010957422368248,0.07160639116635031,0.06125855026258964
partial_only,major_benchmark,2026-07-20,2026-05-01,-2,0.0273944260020107,0.4104760171455257,0.0,0.0,0.0,True,0.36701084096501885,0.35558619001000596,0.14126774180639784,0.13613522721857735
partial_only,major_benchmark,2026-07-20,2026-06-01,-1,0.06398385743296908,0.06805683735548874,0.7234852529987852,-0.043550195710622616,0.23317130119100365,False,0.2692534169700338,0.26279293248798774,0.2469970559983694,0.22095659454360905
partial_only,major_benchmark,2026-07-20,2026-07-01,0,-0.22211895340210977,0.13284182253965968,11.59773717473011,-0.9030152480010079,0.48891458661708087,False,0.22335269648813305,0.3302391173025145,0.25240094916298383,0.19400723704636863
gaussian_combined,sensitivity,2026-07-20,2026-04-01,-3,0.1247488547515804,0.7735514248814588,0.0,0.0,0.0,True,0.4660393163342353,0.4010957422368248,0.07160639116635031,0.06125855026258964
