method,start_reference_week,end_reference_week,weeks,total_return,cagr,gross_cagr,annualized_cost_drag,annualized_volatility,sharpe_zero_rate,sharpe_excess_bil,sortino_zero_rate,maximum_drawdown,calmar_ratio,worst_week,best_week,positive_week_fraction,average_one_way_turnover,annualized_one_way_turnover,maximum_one_way_turnover,sum_transaction_cost_rates
pooled_mean_optimizer,2018-01-01,2026-07-06,445,1.230780360761893,0.09829384274557906,0.09858920395953241,0.000295361213953349,0.10503778623387233,0.9459723387596304,0.709181878907595,1.4134858727242263,-0.2198674610113791,0.4470595252859718,-0.11067539763709078,0.10383794950772396,0.604494382022472,0.0051706889044496425,0.2688758230313814,0.5,0.0023009565624800906
pooled_relative_posterior_active_te100bp,2018-01-01,2026-07-06,445,1.1502136646707122,0.09358308589359732,0.09378975744580598,0.0002066715522086593,0.09936053898145553,0.9508637173931769,0.7005415473749171,1.4178537305933927,-0.2087887392472091,0.44821902862679536,-0.10710520231230769,0.09889161411537661,0.6,0.0036337012235682707,0.18895246362555007,0.5,0.0016169970444878804
static_60_spy_40_agg,2018-01-01,2026-07-06,445,1.1903942191641814,0.09595158249315006,0.09625937367357573,0.0003077911804256761,0.11622080141053281,0.8472192162449059,0.6328593222716693,1.2413546463523963,-0.22020524058484414,0.43573705257110046,-0.10087979244149314,0.0936898226341234,0.604494382022472,0.00539978448901444,0.2807887934287509,0.5,0.002402904097611426
