baseline_method,comparator_method,start_reference_week,end_reference_week,weeks,block_length,n_resamples,confidence_level,seed,difference_definition,annualized_mean_difference,annualized_mean_difference_ci_lower,annualized_mean_difference_ci_upper,probability_mean_difference_positive,naive_paired_t_statistic,annualized_tracking_error,information_ratio
pooled_relative_posterior_active_te100bp,pooled_mean_optimizer,2018-01-01,2026-07-06,445,26,10000,0.95,20260718,baseline_minus_comparator_net_return,-0.004884508843693865,-0.008133760926097201,-0.0016529507378339546,0.002,-2.0123175710276726,0.007100725345726997,-0.6878887164158821
pooled_relative_posterior_active_te100bp,static_60_spy_40_agg,2018-01-01,2026-07-06,445,26,10000,0.95,20260718,baseline_minus_comparator_net_return,-0.003986164824290012,-0.0316965141658635,0.023635416578959966,0.3925,-0.24616220324029597,0.04737096323900916,-0.08414785243394575
