baseline_method,comparator_method,start_reference_week,end_reference_week,weeks,block_length,n_resamples,confidence_level,seed,difference_definition,annualized_mean_difference,annualized_mean_difference_ci_lower,annualized_mean_difference_ci_upper,probability_mean_difference_positive,naive_paired_t_statistic,annualized_tracking_error,information_ratio
oracle_regime_pooled_relative_active_te100bp,pooled_mean_optimizer,2018-01-01,2025-09-29,405,26,10000,0.95,20260718,baseline_minus_comparator_net_return,-0.005390518984688829,-0.009177146874208914,-0.0016186806155967658,0.002,-1.5900544867324469,0.009461160567587928,-0.5697524047055798
oracle_regime_pooled_relative_active_te100bp,pooled_relative_posterior_active_te100bp,2018-01-01,2025-09-29,405,26,10000,0.95,20260718,baseline_minus_comparator_net_return,-7.82588681305398e-05,-0.003548848240767392,0.0030342592411353965,0.4882,-0.03462484699998679,0.0063077073987102125,-0.012406864044857567
oracle_regime_pooled_relative_active_te100bp,static_60_spy_40_agg,2018-01-01,2025-09-29,405,26,10000,0.95,20260718,baseline_minus_comparator_net_return,-0.0022964177816195103,-0.02730260013080131,0.022077765756418597,0.4238,-0.13766783080543152,0.04655263534414774,-0.04932949047122419
pooled_relative_posterior_active_te100bp,pooled_mean_optimizer,2018-01-01,2025-09-29,405,26,10000,0.95,20260718,baseline_minus_comparator_net_return,-0.005312260116558289,-0.008733327540774714,-0.0018227207231243064,0.0018,-2.019736117623379,0.007340244736541743,-0.7237170295034453
