specification_id,checkpoint_type,release_number,observation_count,first_target_month,last_target_month,negative_log_likelihood,multiclass_brier_score,map_accuracy,balanced_accuracy,macro_recall,macro_f1,growth_axis_brier_score,inflation_axis_brier_score,top_label_expected_calibration_error,classwise_expected_calibration_error,mean_posterior_entropy,transition_only_negative_log_likelihood,transition_only_multiclass_brier_score,negative_log_likelihood_difference,brier_skill_vs_transition_only
sensitivity_covariance_empirical,month_end,,97,2018-01-01,2026-05-01,0.9224708688587238,0.5191056970760012,0.6494845360824743,0.34597547974413645,0.34597547974413645,0.3487945803573547,0.1619972164897768,0.12860441086991453,0.11016460390671051,0.09890010926703138,0.9429799204393021,0.9819034601000103,0.5329581423797433,-0.059432591241286525,0.025991619608040306
sensitivity_covariance_empirical,month_start,,97,2018-01-01,2026-05-01,1.0543596950165683,0.578372653791425,0.6082474226804123,0.3317341862117981,0.3317341862117981,0.31637709137709136,0.1666466587733201,0.17069999686022938,0.13342743449816002,0.14188118395890523,1.1885971500579438,1.08272417551697,0.5868058383224631,-0.028364480500401745,0.014371337127705774
sensitivity_covariance_empirical,post_icsa_release,1.0,97,2018-01-01,2026-05-01,1.0121233416559625,0.5648612424639974,0.6391752577319587,0.3429282160625444,0.3429282160625444,0.326780185758514,0.16898639876413782,0.15426225729102874,0.17637664908258033,0.1431043690475756,1.132101312000458,1.0738834124753474,0.5812062747679215,-0.06176007081938484,0.02812260124075705
sensitivity_covariance_empirical,post_icsa_release,2.0,97,2018-01-01,2026-05-01,0.9901419513514899,0.5599197864518831,0.6288659793814433,0.3391968727789623,0.3391968727789623,0.32298245614035087,0.1675594415725368,0.15003876538729438,0.1492778210498954,0.12417001830915837,1.08854620337632,1.0732499393634654,0.5819064528447937,-0.0831079880119755,0.037783850454696455
sensitivity_covariance_empirical,post_icsa_release,3.0,97,2018-01-01,2026-05-01,0.9994011546175423,0.5696256384878517,0.6185567010309279,0.255863539445629,0.255863539445629,0.22298245614035087,0.1732939168776812,0.1467617197376493,0.15006915224916287,0.12400571061492385,1.0617932310688047,1.0962382224422698,0.5955915448279111,-0.09683706782472745,0.04359683505507439
sensitivity_covariance_empirical,post_icsa_release,4.0,97,2018-01-01,2026-05-01,0.8881709671019705,0.4978756825294394,0.7010309278350515,0.32955756929637525,0.32955756929637525,0.33538538538538537,0.14857760516451754,0.12223214204599292,0.1773093874241128,0.11314834428945432,1.0109731378529045,0.978436478631199,0.5266960114659502,-0.09026551152922846,0.054719094713277516
sensitivity_covariance_empirical,post_icsa_release,5.0,32,2018-06-01,2026-05-01,0.8974536595543829,0.5332137875777092,0.65625,0.3644444444444444,0.3644444444444444,0.29791666666666666,0.1631472075259275,0.11008223821752047,0.19238609060398099,0.1495449183896215,0.8961197237181149,0.9408198056495553,0.5357819357497728,-0.04336614609517231,0.004793271293235701
sensitivity_covariance_empirical,pre_confirmation,,97,2018-01-01,2026-05-01,0.9221293773997756,0.5249515078993781,0.6185567010309279,0.28216950959488274,0.28216950959488274,0.27868558382257014,0.17231398807856826,0.1246598090779732,0.06871642355098645,0.09101656765158847,0.8700012690463085,0.9558102735720289,0.5186571056637578,-0.03368089617225323,-0.012135960670132784
sensitivity_covariance_fixed_spherical_0.25,month_end,,97,2018-01-01,2026-05-01,0.922624232516353,0.5193890018982833,0.6494845360824743,0.34597547974413645,0.34597547974413645,0.3487945803573547,0.16187051540783917,0.12871623543133565,0.11030766069270403,0.09899079948737656,0.9431390397097457,0.9819034601000103,0.5329581423797433,-0.059279227583657335,0.025460049115436312
sensitivity_covariance_fixed_spherical_0.25,month_start,,97,2018-01-01,2026-05-01,1.0547576826836336,0.5785211279785596,0.6082474226804123,0.3317341862117981,0.3317341862117981,0.31637709137709136,0.16673651905484926,0.1707881921098722,0.13353843369797552,0.14194194124299253,1.1886816024172357,1.08272417551697,0.5868058383224631,-0.02796649283333652,0.014118316149661303
sensitivity_covariance_fixed_spherical_0.25,post_icsa_release,1.0,97,2018-01-01,2026-05-01,1.0123927879002237,0.5649435092535279,0.6391752577319587,0.3429282160625444,0.3429282160625444,0.326780185758514,0.169067111076098,0.15433374595113128,0.17656686026299717,0.14319947463778399,1.1322574052425893,1.0738834124753474,0.5812062747679215,-0.061490624575123665,0.02798105633131276
sensitivity_covariance_fixed_spherical_0.25,post_icsa_release,2.0,97,2018-01-01,2026-05-01,0.9897860722027515,0.5600427550847389,0.6288659793814433,0.3391968727789623,0.3391968727789623,0.32298245614035087,0.16787311791960816,0.1492318735793339,0.1580781868217236,0.12403216051702508,1.0903221554221731,1.0732499393634654,0.5819064528447937,-0.08346386716071386,0.0375725301776062
sensitivity_covariance_fixed_spherical_0.25,post_icsa_release,3.0,97,2018-01-01,2026-05-01,0.999867643032911,0.5703199236594834,0.6082474226804123,0.2521321961620469,0.2521321961620469,0.21963087248322147,0.17376135533504683,0.1458356040029068,0.14386107208071897,0.12454425939839445,1.0640473613414398,1.0962382224422698,0.5955915448279111,-0.09637057940935878,0.042431128158022524
sensitivity_covariance_fixed_spherical_0.25,post_icsa_release,4.0,97,2018-01-01,2026-05-01,0.8896510346196281,0.4993182021523314,0.7010309278350515,0.33832622601279316,0.33832622601279316,0.34729696673189825,0.1484559601922729,0.1225194194447686,0.17841117842873866,0.1151231034157022,1.0120351884875707,0.978436478631199,0.5266960114659502,-0.08878544401157085,0.05198028600485949
sensitivity_covariance_fixed_spherical_0.25,post_icsa_release,5.0,32,2018-06-01,2026-05-01,0.8974572086953772,0.5332485631094326,0.65625,0.3644444444444444,0.3644444444444444,0.29791666666666666,0.16347768603899124,0.10963712439444509,0.1923871309016582,0.14954543853846008,0.8960519628343717,0.9408198056495553,0.5357819357497728,-0.0433625969541781,0.004728365163702342
sensitivity_covariance_fixed_spherical_0.25,pre_confirmation,,97,2018-01-01,2026-05-01,0.9287730178668677,0.52884810937845,0.6288659793814433,0.2946695095948827,0.2946695095948827,0.2954022988505747,0.17448248384135914,0.1231060278437928,0.07781127273280286,0.09391058091034125,0.8785669633397789,0.9558102735720289,0.5186571056637578,-0.027037255705161134,-0.019648826948297726
sensitivity_covariance_fixed_spherical_0.50,month_end,,97,2018-01-01,2026-05-01,0.922655372951714,0.5194830167106669,0.6494845360824743,0.34597547974413645,0.34597547974413645,0.3487945803573547,0.16183148018793192,0.12873871110114768,0.11029320510710694,0.09899892493849749,0.9431564772096586,0.9819034601000103,0.5329581423797433,-0.059248087148296325,0.025283647246494456
sensitivity_covariance_fixed_spherical_0.50,month_start,,97,2018-01-01,2026-05-01,1.0549193262049197,0.5785621737670161,0.6082474226804123,0.3317341862117981,0.3317341862117981,0.31637709137709136,0.16679461321888545,0.17080753775001054,0.13359032636475401,0.1419574988945242,1.1887052781569136,1.08272417551697,0.5868058383224631,-0.027804849312050406,0.014048368330849659
sensitivity_covariance_fixed_spherical_0.50,post_icsa_release,1.0,97,2018-01-01,2026-05-01,1.0126639729504452,0.5650377788068979,0.6391752577319587,0.3429282160625444,0.3429282160625444,0.326780185758514,0.16915421808574843,0.15438473208667677,0.1766437138561487,0.14323790143435972,1.132298427904974,1.0738834124753474,0.5812062747679215,-0.061219439524902164,0.027818859952053687
sensitivity_covariance_fixed_spherical_0.50,post_icsa_release,2.0,97,2018-01-01,2026-05-01,0.9890508361983648,0.5596677783895124,0.6391752577319587,0.3429282160625444,0.3429282160625444,0.3264532744665195,0.1677661812196061,0.14892434668979518,0.16006346501252502,0.1239274485537461,1.0902777121644933,1.0732499393634654,0.5819064528447937,-0.0841991031651006,0.038216923607844566
sensitivity_covariance_fixed_spherical_0.50,post_icsa_release,3.0,97,2018-01-01,2026-05-01,0.9992483268989454,0.5699967559376983,0.6185567010309279,0.2646321961620469,0.2646321961620469,0.24367321867321867,0.17368456040015823,0.14547142159032417,0.15364746387447034,0.12413422918035773,1.0639421440352945,1.0962382224422698,0.5955915448279111,-0.09698989554332438,0.042973727737535494
sensitivity_covariance_fixed_spherical_0.50,post_icsa_release,4.0,97,2018-01-01,2026-05-01,0.8895779630397365,0.4994145974328833,0.7010309278350515,0.33832622601279316,0.33832622601279316,0.34729696673189825,0.14825963317782043,0.12266879765127077,0.17855417760842443,0.11433944717914216,1.0119706053521245,0.978436478631199,0.5266960114659502,-0.08885851559146252,0.0517972671885909
sensitivity_covariance_fixed_spherical_0.50,post_icsa_release,5.0,32,2018-06-01,2026-05-01,0.8976021730417199,0.5333501870945911,0.65625,0.3644444444444444,0.3644444444444444,0.29791666666666666,0.16367726242117647,0.10947702980317185,0.19242952095758642,0.14956663356642416,0.8960167859356072,0.9408198056495553,0.5357819357497728,-0.0432176326078354,0.004538691010137708
sensitivity_covariance_fixed_spherical_0.50,pre_confirmation,,97,2018-01-01,2026-05-01,0.9336752744782749,0.5308930226486334,0.6288659793814433,0.2946695095948827,0.2946695095948827,0.2954022988505747,0.17544972802266162,0.12265050670121608,0.07114687513210786,0.09373342049028491,0.8782649920502786,0.9558102735720289,0.5186571056637578,-0.022134999093753938,-0.023591534467105157
sensitivity_covariance_fixed_spherical_0.75,month_end,,97,2018-01-01,2026-05-01,0.922689252720351,0.5195433745455417,0.6494845360824743,0.34597547974413645,0.34597547974413645,0.3487945803573547,0.16181169639740617,0.12876169768497686,0.11026323057765265,0.09899125128447393,0.9431465364689708,0.9819034601000103,0.5329581423797433,-0.05921420737965932,0.025170396636220782
sensitivity_covariance_fixed_spherical_0.75,month_start,,97,2018-01-01,2026-05-01,1.055064822907379,0.5786016137693915,0.6185567010309279,0.3354655294953802,0.3354655294953802,0.3196308724832215,0.1668494730963513,0.17082280845205086,0.14391633925836522,0.1419662842957243,1.1887150162878208,1.08272417551697,0.5868058383224631,-0.02765935260959118,0.013981156998242539
