method,weeks,average_hhi,average_effective_asset_count,minimum_effective_asset_count,average_maximum_single_asset_weight,maximum_single_asset_weight,average_assets_above_one_percent,average_new_asset_weight,maximum_new_asset_weight,annualized_one_way_turnover,annualized_cost_drag,solver_fallback_rate,maximum_constraint_violation,volatility_cap_binding_frequency,group_cap_binding_frequency_equity_and_high_yield,group_cap_binding_frequency_corporate_credit,group_cap_binding_frequency_broad_rate_sensitive,group_cap_binding_frequency_nominal_treasury_and_aggregate,group_cap_binding_frequency_commodity_complex,group_cap_binding_frequency_energy_and_broad_commodities,posterior_pooled_realized_tracking_error,posterior_pooled_average_half_l1_target_distance
posterior_optimized,445,0.2501581556552346,4.005751602001425,3.7025877044513416,0.34682463196252417,0.35000000000000103,4.869662921348315,0.17954513344826906,0.2500000000000007,0.35828146267205635,0.00038988443102683235,0.0,2.1094237467877974e-15,0.0,0.4314606741573034,0.0,0.0,0.0,0.0,0.0,0.011653472162816182,0.04424601511625251
pooled_mean_optimizer,445,0.2524051882566904,3.9721514127481345,3.697025211801778,0.34951247428157434,0.3500000000000015,4.72808988764045,0.20628353031188,0.2500000000000006,0.3003663373645484,0.00032598772990288793,0.0,1.7763568394002505e-15,0.0,0.3348314606741573,0.0,0.0,0.0,0.0,0.0,,
equal_weight,445,0.08333333333333334,11.999999999999998,11.999999999999998,0.08333333333333334,0.08333333333333333,12.0,0.41666666666666663,0.41666666666666663,0.3744855135215539,0.0003957329393506903,,,,,,,,,,,
static_60_spy_40_agg,445,0.5199999999999999,1.9230769230769231,1.923076923076923,0.5999999999999998,0.6,2.0,0.4,0.4,0.2807887934287509,0.0003077911804256761,,,,,,,,,,,
