baseline_method,comparator_method,start_reference_week,end_reference_week,weeks,block_length,n_resamples,confidence_level,seed,difference_definition,annualized_mean_difference,annualized_mean_difference_ci_lower,annualized_mean_difference_ci_upper,probability_mean_difference_positive,naive_paired_t_statistic,annualized_tracking_error,information_ratio
posterior_optimized,pooled_mean_optimizer,2018-01-01,2026-07-06,445,26,10000,0.95,20260718,baseline_minus_comparator_net_return,0.0024545205249174784,-0.002139518035824997,0.007048933318948124,0.8588,0.6161545482489541,0.011653472162816182,0.21062568225368447
posterior_optimized,static_60_spy_40_agg,2018-01-01,2026-07-06,445,26,10000,0.95,20260718,baseline_minus_comparator_net_return,-0.009153154281883381,-0.04291377035024023,0.023662778228751808,0.2985,-0.48291352737579296,0.055447216027647114,-0.16507869894350388
posterior_optimized,equal_weight,2018-01-01,2026-07-06,445,26,10000,0.95,20260718,baseline_minus_comparator_net_return,0.03198330979549111,-0.01810223403845474,0.07677047153760494,0.905,1.3456340128206876,0.06953040873625067,0.4599902456609054
