method,frozen_seven_total_return,expanded_twelve_total_return,delta_total_return,frozen_seven_cagr,expanded_twelve_cagr,delta_cagr,frozen_seven_gross_cagr,expanded_twelve_gross_cagr,delta_gross_cagr,frozen_seven_annualized_cost_drag,expanded_twelve_annualized_cost_drag,delta_annualized_cost_drag,frozen_seven_annualized_volatility,expanded_twelve_annualized_volatility,delta_annualized_volatility,frozen_seven_sharpe_zero_rate,expanded_twelve_sharpe_zero_rate,delta_sharpe_zero_rate,frozen_seven_sharpe_excess_bil,expanded_twelve_sharpe_excess_bil,delta_sharpe_excess_bil,frozen_seven_sortino_zero_rate,expanded_twelve_sortino_zero_rate,delta_sortino_zero_rate,frozen_seven_maximum_drawdown,expanded_twelve_maximum_drawdown,delta_maximum_drawdown,frozen_seven_calmar_ratio,expanded_twelve_calmar_ratio,delta_calmar_ratio,frozen_seven_worst_week,expanded_twelve_worst_week,delta_worst_week,frozen_seven_positive_week_fraction,expanded_twelve_positive_week_fraction,delta_positive_week_fraction,frozen_seven_annualized_one_way_turnover,expanded_twelve_annualized_one_way_turnover,delta_annualized_one_way_turnover,frozen_seven_maximum_one_way_turnover,expanded_twelve_maximum_one_way_turnover,delta_maximum_one_way_turnover,frozen_seven_sum_transaction_cost_rates,expanded_twelve_sum_transaction_cost_rates,delta_sum_transaction_cost_rates
posterior_optimized,1.2360208644390345,1.0571408584534825,-0.17888000598555198,0.0985950240574506,0.08794297908642634,-0.01065204497102426,0.0989157924089885,0.08833286351745318,-0.010582928891535323,0.0003207683515378,0.00038988443102683235,6.911607948903236e-05,0.104169886675157,0.09942965272501639,-0.0047402339501406154,0.9556495585744595,0.8982364873334456,-0.05741307124101391,0.7169033329847718,0.6487507946424901,-0.06815253834228174,1.4244221681270486,1.3209813694255435,-0.10344079870150513,-0.21754547146739,-0.2269364289145731,-0.009390957447183101,0.4532157042498126,0.38752253001888554,-0.06569317423092708,-0.1111088551040341,-0.10700948099517138,0.004099374108862713,0.6,0.5820224719101124,-0.017977528089887618,0.2919215213998995,0.35828146267205635,0.06635994127215683,0.5,0.5,0.0,0.0024981745581337,0.0030660625170974053,0.0005678879589637053
pooled_mean_optimizer,1.230780360761892,1.0112907224550365,-0.21948963830685542,0.0982938427455788,0.08508117674850602,-0.013212665997072784,0.0985892039595324,0.0854071644784089,-0.013182039481123495,0.0002953612139535,0.00032598772990288793,3.062651594938794e-05,0.1050377862338723,0.10129190217876984,-0.003745884055102469,0.9459723387596296,0.8574902791566913,-0.08848205960293831,0.7091818789075941,0.6124936540049835,-0.09668822490261064,1.4134858727242252,1.2607534029747562,-0.15273246974946897,-0.2198674610113783,-0.23924618793300256,-0.019378726921624262,0.4470595252859724,0.3556218700225718,-0.09143765526340064,-0.1106753976370907,-0.10568546175579197,0.004989935881298729,0.604494382022472,0.5887640449438202,-0.01573033707865179,0.2688758230313815,0.3003663373645484,0.03149051433316685,0.5,0.5,0.0,0.00230095656248,0.0025704426947543084,0.00026948613227430846
equal_weight,0.6585749519044164,0.6004721332082847,-0.05810281869613165,0.0609060128059986,0.056494390934469285,-0.0044116218715293115,0.0611813226236539,0.056890123873819975,-0.004291198749833927,0.0002753098176553,0.0003957329393506903,0.00012042312169539029,0.0634333210543876,0.0683176970095163,0.004884375955128695,0.9643398388125304,0.839138828070075,-0.12520101074245538,0.5727200019720173,0.47451644049987796,-0.09820356147213938,1.424459199694326,1.18584637710894,-0.23861282258538608,-0.1469489080661248,-0.15149055663977762,-0.004541648573652829,0.4144706728857883,0.37292351541624263,-0.04154715746954568,-0.0742949556307395,-0.07006115877902075,0.004233796851718749,0.5932584269662922,0.5820224719101124,-0.011235955056179803,0.259455556478531,0.3744855135215539,0.11502995704302288,0.5,0.5,0.0,0.0022203408198643,0.0032047317984056052,0.0009843909785413052
static_60_spy_40_agg,1.1903942191641814,1.1903942191641814,0.0,0.09595158249315,0.09595158249315006,5.551115123125783e-17,0.0962593736735757,0.09625937367357573,2.7755575615628914e-17,0.0003077911804256,0.0003077911804256761,7.611099250848241e-17,0.1162208014105328,0.11622080141053281,1.3877787807814457e-17,0.8472192162449059,0.8472192162449059,0.0,0.6328593222716693,0.6328593222716693,0.0,1.2413546463523963,1.2413546463523963,0.0,-0.2202052405848441,-0.22020524058484414,-5.551115123125783e-17,0.4357370525711004,0.43573705257110046,5.551115123125783e-17,-0.1008797924414931,-0.10087979244149314,-4.163336342344337e-17,0.604494382022472,0.604494382022472,0.0,0.2807887934287509,0.2807887934287509,0.0,0.5,0.5,0.0,0.0024029040976114,0.002402904097611426,2.6020852139652106e-17
