evaluation_sample,filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
full_sample,priority_02_claims,sensitivity,after_employment_situation,183,7.594769228224967,1.4334303982839292,0.10081049913721438,0.36932379154768097,0.5300546448087432,2.0536058917452706,0.6398829530357327,1.5574747928477295,4
full_sample,priority_05_import_prices,sensitivity,after_employment_situation,183,7.609170064034571,1.4336030572870027,0.10090649165268038,0.3694964505507545,0.5300546448087432,2.066178150128145,0.6388666818406408,1.5784976390945602,4
full_sample,student_t_7_combined,baseline,after_employment_situation,183,7.60954758854439,1.4336930866851998,0.10095369824093706,0.3695864799489515,0.5300546448087432,2.066173384786345,0.6389836927874762,1.5784978715074454,4
full_sample,priority_04_housing,sensitivity,after_employment_situation,183,7.609548778686138,1.433691226833275,0.10095269312392427,0.36958462009702653,0.5300546448087432,2.066176700248681,0.638981447577144,1.5784978312341078,4
full_sample,priority_06_backlog,sensitivity,after_employment_situation,183,7.609581034849299,1.4337053988396105,0.10095982906348265,0.3695987921033621,0.5300546448087432,2.066173421490309,0.6390034503568146,1.578497861790454,4
full_sample,priority_01_philadelphia_only,sensitivity,after_employment_situation,183,7.6308830846905105,1.4358574153391008,0.10250613799834449,0.3717508086028527,0.5355191256830601,2.0687526803558636,0.6357702936609492,1.5264259211208546,4
full_sample,priority_01_empire_only,sensitivity,after_employment_situation,183,7.637387768997518,1.4389763326781542,0.10436487539081664,0.3748697259419059,0.5300546448087432,2.079359716622322,0.6345879611853243,1.5283080868680288,4
full_sample,partial_only,major_benchmark,after_employment_situation,183,7.661614698767194,1.4338070485877414,0.10095838221711084,0.3697004418514929,0.5245901639344263,2.106373065319172,0.6382599129681908,1.5908013247910653,4
full_sample,priority_01_surveys,sensitivity,after_employment_situation,183,7.683802943033415,1.445258445159154,0.10792732297167316,0.3811518384229054,0.5136612021857924,2.0892483263744928,0.6360586707394349,1.4409510433988013,4
full_sample,priority_03_consumer,sensitivity,after_employment_situation,183,12.447243199187959,1.4330553147160776,0.10067846892930853,0.3689487079798292,0.5245901639344263,2.323648464367617,0.6391644974140389,1.5516735400899861,4
