variant_id,observation_model_id,audit_rows,applied_updates,fit_errors,median_event_weight,selected_long_rows,live_event_vectors,training_candidates,training_vector_policy,excluded_incomplete_response,excluded_incomplete_control,excluded_score_unavailable,first_live_release,last_live_release,first_target_month,last_target_month,variants_using_model
priority_01_empire_only,weekly_labor_stress,597,490,107,1.1051488582881241,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_philadelphia_only,business_investment,190,82,105,1.0546050488300782,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices
priority_01_philadelphia_only,consumer_demand,191,182,9,1.147673735089895,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_04_housing|priority_05_import_prices|priority_06_backlog
priority_01_philadelphia_only,housing_activity,191,129,36,1.0553312165352573,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_05_import_prices|priority_06_backlog
priority_01_philadelphia_only,inflation_expectations,29,3,26,0.8010204849959235,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_philadelphia_only,inflation_input_costs,76,40,36,1.0971176322039429,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_philadelphia_only,manufacturing_philadelphia,110,85,25,0.9945558605490535,220,110,106,monthly_reference_vector_max_availability,0,0,4,2017-06-15,2026-07-16,2017-06-01,2026-07-01,priority_01_philadelphia_only|priority_01_surveys|candidate_all_six
priority_01_philadelphia_only,monthly_labor_demand,132,14,36,1.0876598283427532,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_philadelphia_only,weekly_labor_stress,597,490,107,1.1049030163213571,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_surveys,business_investment,190,82,105,1.0554200811264713,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices
priority_01_surveys,consumer_demand,191,182,9,1.1429378759799191,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_04_housing|priority_05_import_prices|priority_06_backlog
priority_01_surveys,housing_activity,191,129,36,1.0552844925901623,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_05_import_prices|priority_06_backlog
priority_01_surveys,inflation_expectations,29,3,26,0.8010725904052806,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_surveys,inflation_input_costs,76,40,36,1.1006922051945285,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_surveys,manufacturing_empire_state,124,99,25,1.0164981960772521,248,124,120,monthly_reference_vector_max_availability,0,0,4,2016-04-15,2026-07-15,2016-04-01,2026-07-01,priority_01_empire_only|priority_01_surveys|candidate_all_six
priority_01_surveys,manufacturing_philadelphia,110,85,25,1.0403751194574884,220,110,106,monthly_reference_vector_max_availability,0,0,4,2017-06-15,2026-07-16,2017-06-01,2026-07-01,priority_01_philadelphia_only|priority_01_surveys|candidate_all_six
priority_01_surveys,monthly_labor_demand,132,14,36,1.087661724848925,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_01_surveys,weekly_labor_stress,597,490,107,1.1049587053794745,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_02_claims,business_investment,190,82,105,1.0509049773482795,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices
priority_02_claims,consumer_demand,191,182,9,1.1477483074641657,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_04_housing|priority_05_import_prices|priority_06_backlog
priority_02_claims,housing_activity,191,129,36,1.0547095115010419,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_05_import_prices|priority_06_backlog
priority_02_claims,inflation_expectations,29,3,26,0.8012253939903666,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_02_claims,inflation_input_costs,76,40,36,1.0960649196277927,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_02_claims,monthly_labor_demand,132,14,36,1.0876593747514676,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_02_claims,weekly_continued_claims,597,491,106,1.1138371318453948,597,597,583,event_level_repeated_monthly_target,0,0,14,2015-02-12,2026-07-16,2015-01-01,2026-07-01,priority_02_claims|candidate_all_six
priority_02_claims,weekly_labor_stress,597,490,107,1.104097853578806,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_03_consumer,business_investment,190,82,105,1.0555190081377035,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices
priority_03_consumer,consumer_retail_ex_auto_gas,74,50,24,1.134614995869816,74,74,71,monthly_reference_vector_max_availability,0,0,3,2020-06-16,2026-07-16,2020-05-01,2026-06-01,priority_03_consumer|candidate_all_six
priority_03_consumer,consumer_vehicle_units,138,114,24,1.0914493955268574,138,138,135,monthly_reference_vector_max_availability,0,0,3,2015-02-04,2026-07-03,2015-01-01,2026-06-01,priority_03_consumer|candidate_all_six
priority_03_consumer,housing_activity,191,129,36,1.0530696046470553,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_05_import_prices|priority_06_backlog
priority_03_consumer,inflation_expectations,29,3,26,0.801222228589366,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_03_consumer,inflation_input_costs,76,40,36,1.095295036701768,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_03_consumer,monthly_labor_demand,132,14,36,1.0876569398231282,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_03_consumer,weekly_labor_stress,597,490,107,1.1039302192441216,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_04_housing,business_investment,190,82,105,1.0507769957190822,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices
priority_04_housing,consumer_demand,191,182,9,1.1429340302912925,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_04_housing|priority_05_import_prices|priority_06_backlog
priority_04_housing,housing_new_home_sales,189,122,36,1.038830778381525,820,298,164,monthly_reference_vector_max_availability,0,132,2,2001-08-24,2026-06-24,2001-07-01,2026-05-01,priority_04_housing|candidate_all_six
priority_04_housing,housing_single_family_construction,192,130,36,1.008457035576103,1010,314,164,monthly_reference_vector_max_availability,139,6,3,2000-07-20,2026-07-17,2000-06-01,2026-06-01,priority_04_housing|candidate_all_six
priority_04_housing,inflation_expectations,29,3,26,0.8012230382848167,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_04_housing,inflation_input_costs,76,40,36,1.0953739427198772,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_04_housing,monthly_labor_demand,132,14,36,1.0876657721658507,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_04_housing,weekly_labor_stress,597,490,107,1.103945775136986,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_05_import_prices,business_investment,190,82,105,1.0487745988801302,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices
priority_05_import_prices,consumer_demand,191,182,9,1.1429347342055303,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_04_housing|priority_05_import_prices|priority_06_backlog
priority_05_import_prices,housing_activity,191,129,36,1.0555016912363482,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_05_import_prices|priority_06_backlog
priority_05_import_prices,inflation_expectations,29,3,26,0.8012230380354333,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_05_import_prices,inflation_import_prices,171,147,24,1.0163254951226453,171,171,169,monthly_reference_vector_max_availability,0,0,2,2012-04-11,2026-07-17,2012-03-01,2026-06-01,priority_05_import_prices|candidate_all_six
priority_05_import_prices,inflation_input_costs,76,40,36,1.0953738945146747,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_05_import_prices,monthly_labor_demand,132,14,36,1.0876601476645056,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_05_import_prices,weekly_labor_stress,597,490,107,1.1039458129214041,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_06_backlog,business_investment_backlog,190,130,57,0.9548278119979465,416,259,155,monthly_reference_vector_max_availability,102,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,priority_06_backlog|candidate_all_six
priority_06_backlog,consumer_demand,191,182,9,1.1429340406095767,484,242,239,monthly_reference_vector_max_availability,0,0,3,2006-06-13,2026-07-16,2006-05-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_04_housing|priority_05_import_prices|priority_06_backlog
priority_06_backlog,housing_activity,191,129,36,1.0556823575105116,907,296,164,monthly_reference_vector_max_availability,37,91,2,2001-12-18,2026-06-16,2001-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_05_import_prices|priority_06_backlog
priority_06_backlog,inflation_expectations,29,3,26,0.801223038236329,29,29,26,monthly_reference_vector_max_availability,0,0,3,2024-02-13,2026-07-14,2024-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_06_backlog,inflation_input_costs,76,40,36,1.0953738435455416,76,76,73,monthly_reference_vector_max_availability,0,0,3,2020-04-09,2026-07-15,2020-03-01,2026-06-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_06_backlog,monthly_labor_demand,132,14,36,1.087632425420869,528,132,130,monthly_reference_vector_max_availability,0,0,2,2015-08-12,2026-06-30,2015-06-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
priority_06_backlog,weekly_labor_stress,597,490,107,1.103945775101498,597,597,582,event_level_repeated_monthly_target,0,0,15,2015-02-12,2026-07-16,2015-02-01,2026-07-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices|priority_06_backlog|candidate_all_six
student_t_7_combined,business_investment,190,82,105,1.049474571774779,380,259,119,monthly_reference_vector_max_availability,138,0,2,2004-12-23,2026-06-25,2004-11-01,2026-05-01,transition_only|partial_only|student_t_7_combined|priority_01_empire_only|priority_01_philadelphia_only|priority_01_surveys|priority_02_claims|priority_03_consumer|priority_04_housing|priority_05_import_prices
