left_block_id,left_model_id,left_response_id,right_block_id,right_model_id,right_response_id,same_economic_block,lag_months,statistic,correlation,sample_count,p_value,q_value,status,bh_family,lag_definition,left_serial_dependence_detected,right_serial_dependence_detected,serial_dependence_detected_either,correlation_p_q_interpretation
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_new_home_sales,new_single_family_home_sales_log_change,False,1,spearman,0.08628023059617548,127,0.3347877346122324,0.6397510573633467,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,False,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_building_permits_log_change,False,-1,pearson,-0.16017970889429195,127,0.07203137211473908,0.24067998268686927,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,False,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_building_permits_log_change,False,-1,spearman,-0.14714566929133857,127,0.09876905572199053,0.30098078179004056,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,False,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_building_permits_log_change,False,0,pearson,-0.1217583164204267,128,0.17096036029491374,0.4193678230098405,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,False,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_building_permits_log_change,False,0,spearman,-0.0977900109869987,128,0.27213949632879403,0.5640722339981322,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,False,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_building_permits_log_change,False,1,pearson,0.07451135103062569,127,0.4050951742882167,0.7050845736259771,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,False,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_building_permits_log_change,False,1,spearman,0.0264517716535433,127,0.7678406449768095,0.9070390498534446,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,False,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_housing_starts_log_change,False,-1,pearson,-0.11044375105552673,127,0.21641504470558498,0.48845077847101653,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_housing_starts_log_change,False,-1,spearman,-0.08547173790776151,127,0.33935337053842085,0.6436359115307062,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_housing_starts_log_change,False,0,pearson,-0.0736290848019424,128,0.40882214077383144,0.709016495489266,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_housing_starts_log_change,False,0,spearman,-0.061836202160776406,128,0.48805991350086486,0.7581020979533246,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,housing_activity,housing_single_family_construction,single_family_housing_starts_log_change,False,1,pearson,-0.013077889449551733,127,0.8839771553261698,0.9582765715283116,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
